[&R] (((((216_5:12.535,216_6:15.535)189_3:17.06,216_7:21.595)146_2:38.996,((216_3:6.803,216_4:12.803)193_2:18.752,(216_1:3.635,216_2:13.635)194_1:19.919)150_1:41.036)93_1:25.826,(((216_13:8.655,216_14:8.655)187_7:18.112,216_15:21.767)150_5:43.158,(216_9:5.266,216_10:6.266)193_7:55.659)93_2:27.492)45_1:54.584)I0;
I0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45_1,0:0.07/1:0.93,0,0:0.07/1:0.93,0,0,0,0:0.07/1:0.93,0,0,0,0,0,0,0,0,0:0.07/1:0.93,0,0,0,0,0,0,0,0,0,0:0.07/2:0.93,0,0,0,0,0,0:0.07/2:0.93,0,0,0:0.07/1:0.93,0:0.07/2:0.93,0,0,0:0.07/2:0.93,0,0,0,0,0,0,0:0.07/2:0.93,0,0:0.07/1:0.93,0,0,0:0.07/2:0.93,0,0,0:0.07/1:0.93,0,0,0,0,0:0.07/1:0.93,0,0:0.07/1:0.93,0:0.07/2:0.93,0:0.07/1:0.93,0:0.07/2:0.93,0,0:0.07/1:0.93,0,0,0:0.07/1:0.93,0:0.07/2:0.93,0,0,0,0,0,0,0,0,0,0,0:0.07/2:0.93,0,0:0.07/2:0.93,0,0,0,0,0,0:0.07/2:0.93,0,0:0.07/2:0.93,0:0.07/2:0.93,0,0,0,0:0.07/1:0.93,0:0.07/2:0.93,0,0,0:0.07/2:0.93,0:0.07/2:0.93,0,0,0:0.07/1:0.93,0,0,0,0:0.07/1:0.93,0:0.07/1:0.93,0,0,0:0.07/1:0.93,0,0,0:0.07/2:0.93,0,0,0,0,0,0,0:0.07/1:0.93,0,0:0.07/1:0.93,0,0,0:0.07/2:0.93,0,0,0,0,0,0:0.07/1:0.93,0,0,0,0,0:0.07/1:0.93,0:0.07/1:0.93,0,0,0,0,0,0,0,0,0,0:0.07/1:0.93,0,0,0,0:0.07/2:0.93,0,0:0.07/2:0.93,0:0.07/2:0.93,0,0,0:0.07/1:0.93,0,0,0,0:0.07/2:0.93,0,0,0,0:0.07/2:0.93,0:0.07/1:0.93,0,0,0:0.07/2:0.93,0:0.07/1:0.93,0:0.07/1:0.93,0,0,0:0.07/2:0.93,0:0.07/2:0.93,0,0,0,0,0:0.07/1:0.93,0,0,0,0,0,0:0.07/1:0.93,0:0.07/1:0.93,0,0,0,0,0:0.07/2:0.93,0,0,0,0:0.07/2:0.93,0,0
93_2,0:0.02/1:0.98,0,0:0.02/1:0.98,0,0,0,0:0.02/1:0.98,0,0:0.28/1:0.72,0:0.28/1:0.72,0,0,0,0,0,0:0.02/1:0.98,0:0.28/2:0.72,0:0.28/2:0.72,0,0,0,0:0.28/2:0.72,0,0,0:0.28/2:0.72,0:0.02/2:0.98,0,0,0,0,0,0:0.02/2:0.98,0,0,0:0.02/1:0.98,0:0.02/2:0.98,0,0:0.28/2:0.72,0:0.02/2:0.98,0,0,0,0,0,0,0:0.02/2:0.98,0,0:0.02/1:0.98,0,0,0:0.02/2:0.98,0:0.28/1:0.72,0,0:0.02/1:0.98,0,0,0,0,0:0.02/1:0.98,0,0:0.02/1:0.98,0:0.02/2:0.98,0:0.02/1:0.98,0:0.02/2:0.98,0,0:0.02/1:0.98,0,0:0.28/1:0.72,0:0.02/1:0.98,0:0.02/2:0.98,0,0,0,0:0.28/1:0.72,0,0,0,0,0,0,0:0.02/2:0.98,0,0:0.02/2:0.98,0,0,0,0,0,0:0.02/2:0.98,0,0:0.02/2:0.98,0:0.02/2:0.98,0,0:0.28/1:0.72,0:0.28/1:0.72,0:0.02/1:0.98,0:0.02/2:0.98,0,0,0:0.02/2:0.98,0:0.02/2:0.98,0,0:0.28/2:0.72,0:0.02/1:0.98,0:0.28/2:0.72,0,0:0.28/2:0.72,0:0.02/1:0.98,0:0.02/1:0.98,0:0.28/2:0.72,0:0.28/2:0.72,0:0.02/1:0.98,0,0,0:0.02/2:0.98,0:0.28/1:0.72,0,0,0,0,0:0.28/1:0.72,0:0.02/1:0.98,0,0:0.02/1:0.98,0:0.28/1:0.72,0,0:0.02/2:0.98,0,0,0,0,0:0.28/2:0.72,0:0.02/1:0.98,0,0,0:0.28/1:0.72,0,0:0.02/1:0.98,0:0.02/1:0.98,0:0.28/2:0.72,0:0.28/1:0.72,0,0,0,0,0:0.28/2:0.72,0,0:0.28/2:0.72,0:0.02/1:0.98,0:0.28/2:0.72,0,0,0:0.02/2:0.98,0:0.28/1:0.72,0:0.02/2:0.98,0:0.02/2:0.98,0:0.28/2:0.72,0,0:0.02/1:0.98,0,0,0,0:0.02/2:0.98,0,0,0:0.28/1:0.72,0:0.02/2:0.98,0:0.02/1:0.98,0,0,0:0.02/2:0.98,0:0.02/1:0.98,0:0.02/1:0.98,0,0,0:0.02/2:0.98,0:0.02/2:0.98,0:0.28/1:0.72,0,0,0,0:0.02/1:0.98,0:0.28/1:0.72,0,0,0,0,0:0.02/1:0.98,0:0.02/1:0.98,0:0.28/1:0.72,0,0,0,0:0.02/2:0.98,0,0,0,0:0.02/2:0.98,0,0:0.28/1:0.72
193_7,1,2,1,0,1,0,1,0,1,1,2,0,0,0,0,1,2,2,0,2,0,2,0,0,2,2,2,0,0,2,1,2,0,0,1,2,0,2,2,0,0,0,0,0,0,2,2,1,0,0,2,1,2,1,2,0,0,0,1,0,1,2,1,2,0,1,2,1,1,2,0,1,0,1,1,0,2,0,1,1,2,0,2,2,1,2,1,0,2,0,2,2,2,1,1,1,2,0,0,2,2,1,2,1,2,2,2,1,1,2,2,1,0,0,2,1,2,2,1,2,1,1,0,1,1,2,2,2,1,2,0,2,1,0,0,1,0,1,1,2,1,0,0,1,2,2,0,2,1,2,0,0,2,1,2,2,2,0,1,0,0,0,2,1,1,1,2,1,1,0,2,1,1,1,0,2,2,1,2,1,2,1,1,0,0,1,0,1,1,1,2,0,0,2,2,0,1,2,2,1
216_10,1,2,1,0,1,0,1,0,1,1,2,0,0,0,0,1,2,2,0,2,0,2,2,0,2,2,2,0,0,2,1,2,0,0,1,2,2,2,2,0,0,0,0,0,2,2,2,1,0,0,2,1,2,1,2,0,0,0,1,0,1,2,1,2,0,1,2,1,1,2,0,1,0,1,1,0,2,2,1,1,2,0,2,2,1,2,1,0,2,1,2,2,2,1,1,1,2,0,0,2,2,1,2,1,2,2,2,1,1,2,2,1,0,0,2,1,2,2,1,2,1,1,0,1,1,2,2,2,1,2,0,2,1,0,0,1,0,1,1,2,1,0,0,1,2,2,0,2,1,2,0,0,2,1,2,2,2,0,1,0,0,0,2,1,1,1,2,1,1,0,2,1,1,1,0,2,2,1,2,1,2,1,1,0,2,1,0,1,1,1,2,0,0,2,2,0,1,2,2,1
216_9,1,2,1,0,1,0,1,0,1,1,2,0,0,0,0,1,2,2,0,2,0,2,0,0,2,2,2,0,0,2,1,2,0,0,1,2,0,2,2,0,0,2,2,0,0,2,2,1,0,0,2,1,2,1,2,0,0,0,1,0,1,2,1,2,0,1,2,1,1,2,0,1,0,1,1,0,2,0,1,1,2,0,2,2,1,2,1,0,2,0,2,2,2,1,1,1,2,0,2,2,2,1,2,1,2,2,2,1,1,2,2,1,0,0,2,1,2,2,1,2,1,1,0,1,1,2,2,2,1,2,0,2,1,0,0,1,0,1,1,2,1,0,2,1,2,2,2,2,1,2,0,0,2,1,2,2,2,0,1,0,0,0,2,1,1,1,2,1,1,0,2,1,1,1,0,2,2,1,2,1,2,1,1,0,0,1,0,1,1,1,2,0,0,2,2,0,1,2,2,1
150_5,1,0,1,0,0,0,1,0:0.06/2:0.94,0:0.02/1:0.98,0:0.02/1:0.98,0,0,0,0:0.06/2:0.94,0:0.06/1:0.94,1,0:0.02/2:0.98,0:0.02/2:0.98,0:0.06/1:0.94,0,0:0.06/1:0.94,0:0.02/2:0.98,0,0,0:0.02/2:0.98,2,0,0,0,0:0.06/1:0.94,0,2,0,0,1,2,0:0.06/1:0.94,0:0.02/2:0.98,2,0:0.06/2:0.94,0:0.06/1:0.94,0:0.06/1:0.94,0,0,0,2,0,1,0:0.06/2:0.94,0,2,0:0.02/1:0.98,0,1,0,0,0,0,1,0:0.06/2:0.94,1,2,1,2,0,1,0,0:0.02/1:0.98,1,2,0:0.06/2:0.94,0:0.06/2:0.94,0:0.06/2:0.94,0:0.02/1:0.98,0:0.06/2:0.94,0:0.06/2:0.94,0:0.06/1:0.94,0,0,0,2,0,2,0,0,0,0,0:0.06/1:0.94,2,0,2,2,0:0.06/1:0.94,0:0.02/1:0.98,0:0.02/1:0.98,1,2,0:0.06/1:0.94,0,2,2,0,0:0.02/2:0.98,1,0:0.02/2:0.98,0,0:0.02/2:0.98,1,1,0:0.02/2:0.98,0:0.02/2:0.98,1,0,0,2,0:0.02/1:0.98,0,0,0,0:0.06/1:0.94,0:0.02/1:0.98,1,0,1,0:0.02/1:0.98,0,2,0:0.06/1:0.94,0,0,0,0:0.02/2:0.98,1,0,0:0.06/1:0.94,0:0.02/1:0.98,0,1,1,0:0.02/2:0.98,0:0.02/1:0.98,0,0:0.06/2:0.94,0,0,0:0.02/2:0.98,0:0.06/1:0.94,0:0.02/2:0.98,1,0:0.02/2:0.98,0,0:0.06/1:0.94,2,0:0.02/1:0.98,2,2,0:0.02/2:0.98,0:0.06/1:0.94,1,0:0.06/1:0.94,0,0,2,0,0,0:0.02/1:0.98,2,1,0,0,2,1,1,0,0:0.06/1:0.94,2,2,0:0.02/1:0.98,0,0,0,1,0:0.02/1:0.98,0,0:0.06/2:0.94,0,0:0.06/1:0.94,1,1,0:0.02/1:0.98,0,0,0:0.06/1:0.94,2,0,0:0.06/2:0.94,0:0.06/2:0.94,2,0,0:0.02/1:0.98
216_15,1,0,1,0,0,0,1,2,1,1,0,0,2,2,1,1,2,2,1,0,1,2,0,0,2,2,0,1,0,1,2,2,2,0,1,2,1,2,2,2,1,1,1,0,0,2,1,1,2,0,2,1,0,1,0,2,0,0,1,2,1,2,1,2,0,1,2,1,1,2,2,2,2,1,2,2,1,0,0,0,2,0,2,0,0,0,0,1,2,0,2,2,1,1,1,1,2,1,0,2,2,0,2,1,2,2,2,1,1,2,2,1,0,2,2,1,0,2,0,1,1,1,0,1,1,0,2,1,0,2,0,2,1,0,1,1,0,1,1,2,1,1,2,0,2,2,1,2,1,2,0,1,2,1,2,2,2,1,1,1,0,0,2,1,0,1,2,1,1,0,2,1,1,2,1,2,2,1,0,0,0,1,1,0,2,2,1,1,1,1,0,0,1,2,2,2,2,2,0,1
187_7,1,0,1,0,0,0,1,2,1,1,0,0,0,2,1,1,2,2,1,0,1,2,0,0,2,2,0,0,0:0.03/1:0.97,1,0,2,0,0,1,2,1,2,2,2,1,1,0,0,0,2,0,1,2,0:0.03/1:0.97,2,1,0,1,0,0,0:0.03/2:0.97,0,1,2,1,2,1,2,0,1,0,1,1,2,2,2,2,1,2,2,1,0:0.03/1:0.97,0,0,2,0,2,0:0.03/1:0.97,0:0.03/2:0.97,0,0:0.03/1:0.97,1,2,0:0.03/2:0.97,2,2,1,1,1,1,2,1,0:0.03/2:0.97,2,2,0,2,1,2,0,2,1,1,2,2,1,0:0.03/1:0.97,0,2,1,0,0,0,1,1,1,0,1,1,0:0.03/2:0.97,2,1,0,0,0,2,1,0,1,1,0,1,1,2,1,0:0.03/2:0.97,2,0:0.03/2:0.97,0,2,1,2,1,2,0:0.03/2:0.97,1,2,1,2,2,2,1,1,1,0,0,2,0,0:0.03/1:0.97,1,2,1,0,0,2,1,1,0:0.03/1:0.97,1,2,2,1,0,0,0,1,1,0,2,0,1,1,1,1,0,0,1,2,0,2,2,2,0,1
216_14,1,0,1,0,1,0,1,2,1,1,0,0,1,2,1,1,2,2,1,0,1,2,0,0,2,2,0,0,1,1,0,2,0,0,1,2,1,2,2,2,1,1,0,2,0,2,0,1,2,1,2,1,0,1,0,0,2,0,1,2,1,2,1,2,0,1,2,1,1,2,2,2,2,1,2,2,1,1,0,2,2,0,2,1,2,0,1,1,2,2,2,2,1,1,1,1,2,1,2,2,2,0,2,1,2,0,2,1,1,2,2,1,1,0,2,1,0,0,0,1,1,1,0,1,1,2,2,1,1,0,0,2,1,0,1,1,0,1,1,2,1,2,2,2,0,2,1,2,1,2,2,1,2,1,2,2,2,1,1,1,0,0,2,0,1,1,2,1,1,0,2,1,1,1,1,2,2,1,0,0,0,1,1,0,2,0,1,1,1,1,0,2,1,2,0,2,2,2,0,1
216_13,1,0,1,0,0,0,1,2,1,1,2,0,0,2,1,1,2,2,1,0,1,2,1,0,2,2,1,0,1,1,0,2,0,0,1,2,1,2,2,2,1,1,0,0,0,2,0,1,2,1,2,1,2,1,0,0,2,0,1,2,1,2,1,2,0,1,0,1,1,2,2,2,2,1,2,2,1,1,1,0,2,0,2,1,2,0,1,1,2,2,2,2,1,1,1,1,2,1,2,2,2,0,2,1,2,0,2,1,1,2,2,1,1,0,2,1,0,0,0,1,1,1,2,1,1,2,2,1,0,0,0,2,1,0,1,1,0,1,1,2,1,2,2,2,2,2,1,2,1,2,2,1,2,1,2,2,2,1,1,1,0,0,2,0,1,1,2,1,2,0,2,1,1,1,1,2,2,1,0,0,0,1,1,0,2,0,1,1,1,1,0,0,1,2,0,2,2,2,0,1
