[&R] (((((216_5:5.26,216_6:8.26)189_3:6.526,216_7:19.787)146_2:25.844,((216_3:0.034,216_4:4.034)193_2:16.13,(216_1:7.249,216_2:4.249)194_1:10.914)150_1:37.467)93_1:31.158,(((216_13:6.348,216_14:7.348)187_7:15.685,216_15:21.033)150_5:20.648,(216_9:4.322,216_10:8.322)193_7:42.359)93_2:42.107)45_1:54.212)I0;
I0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45_1,0,0,0:0.1/1:0.9,0,0:0.1/1:0.9,0:0.1/1:0.9,0:0.1/2:0.9,0,0,0:0.1/1:0.9,0:0.1/1:0.9,0:0.1/2:0.9,0,0:0.1/1:0.9,0,0,0,0,0:0.1/1:0.9,0,0,0,0:0.1/2:0.9,0,0:0.1/1:0.9,0:0.1/2:0.9,0:0.1/1:0.9,0,0,0,0,0:0.1/2:0.9,0:0.1/2:0.9,0,0,0,0:0.1/1:0.9,0,0,0,0,0,0,0,0,0,0,0:0.1/1:0.9,0:0.1/2:0.9,0:0.1/2:0.9,0:0.1/2:0.9,0,0:0.1/2:0.9,0,0,0,0,0,0,0:0.1/2:0.9,0,0,0,0,0,0,0:0.1/2:0.9,0,0,0:0.1/2:0.9,0,0:0.1/2:0.9,0,0,0:0.1/1:0.9,0:0.1/2:0.9,0,0,0,0,0,0:0.1/2:0.9,0,0,0,0,0:0.1/2:0.9,0:0.1/1:0.9,0,0,0,0,0:0.1/2:0.9,0,0,0,0,0,0:0.1/1:0.9,0,0,0:0.1/2:0.9,0,0:0.1/2:0.9,0,0,0,0:0.1/2:0.9,0,0,0,0,0,0,0:0.1/2:0.9,0,0,0,0,0,0,0,0,0,0,0:0.1/1:0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0:0.1/1:0.9,0:0.1/1:0.9,0:0.1/1:0.9,0,0,0,0,0,0:0.1/2:0.9,0,0,0:0.1/2:0.9,0,0,0:0.1/1:0.9,0,0:0.1/1:0.9,0,0,0,0:0.1/2:0.9,0,0,0,0,0,0,0,0:0.1/2:0.9,0,0,0,0:0.1/1:0.9,0,0:0.1/2:0.9,0,0,0:0.1/2:0.9,0:0.1/1:0.9,0,0,0,0:0.1/1:0.9,0,0,0,0:0.1/1:0.9,0:0.1/2:0.9,0:0.1/2:0.9,0,0,0,0:0.1/2:0.9,0,0,0,0:0.1/2:0.9,0:0.1/1:0.9,0:0.1/2:0.9,0:0.1/2:0.9,0:0.1/2:0.9
93_2,0:0.1/2:0.9,0,0:0.01/1:0.99,0:0.1/1:0.9,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.1/1:0.9,0,0:0.1/1:0.9,0,0:0.01/1:0.99,0,0,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.1/1:0.9,0,0,0:0.01/1:0.99,0,0,0:0.1/2:0.9,0:0.1/2:0.9,0,0,0:0.1/2:0.9,0:0.1/2:0.9,0,0,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.1/1:0.9,0,0:0.1/2:0.9,0:0.1/1:0.9,0:0.1/2:0.9,0,0:0.01/2:0.99,0,0,0,0:0.1/2:0.9,0,0,0:0.01/2:0.99,0,0:0.1/2:0.9,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0,0,0:0.1/1:0.9,0:0.01/2:0.99,0:0.1/2:0.9,0,0:0.1/1:0.9,0:0.1/1:0.9,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0,0:0.1/1:0.9,0:0.01/2:0.99,0,0,0:0.1/1:0.9,0,0,0:0.01/1:0.99,0:0.1/2:0.9,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0:0.1/1:0.9,0,0:0.01/2:0.99,0,0,0,0,0,0,0:0.01/2:0.99,0:0.1/1:0.9,0,0,0,0,0,0:0.1/1:0.9,0:0.1/2:0.9,0,0,0:0.01/1:0.99,0,0:0.1/1:0.9,0,0,0,0,0,0,0,0,0,0,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0,0,0:0.1/1:0.9,0,0,0:0.01/2:0.99,0:0.1/2:0.9,0,0:0.01/2:0.99,0:0.1/1:0.9,0:0.1/1:0.9,0:0.01/1:0.99,0,0:0.01/1:0.99,0:0.1/2:0.9,0:0.1/1:0.9,0,0:0.01/2:0.99,0,0:0.1/2:0.9,0:0.1/1:0.9,0,0:0.1/1:0.9,0,0:0.1/2:0.9,0:0.01/2:0.99,0,0:0.1/1:0.9,0,0:0.01/1:0.99,0:0.1/2:0.9,0:0.01/2:0.99,0:0.1/1:0.9,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0:0.1/2:0.9,0:0.01/1:0.99,0,0,0,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0,0:0.01/2:0.99,0,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99
193_7,2,0:0.01/1:0.99,1,1,1,1,2,0,0,1,1,2,0,1,1,0,1,0:0.01/2:0.99,1,0,0:0.01/2:0.99,0,2,0,1,2,1,0,0:0.01/1:0.99,0,0,2,2,1,0,0,1,0,0:0.01/2:0.99,2,2,0,0:0.01/2:0.99,2,2,0:0.01/2:0.99,0,1,2,2,2,0:0.01/2:0.99,2,1,0:0.01/1:0.99,2,1,2,0,2,0,0:0.01/1:0.99,0:0.01/1:0.99,2,0,0:0.01/1:0.99,2,0,2,2,0:0.01/1:0.99,2,0,0,1,2,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.01/2:0.99,1,2,2,0:0.01/1:0.99,1,1,2,1,0,0,0,1,2,0,0,1,0:0.01/2:0.99,0:0.01/1:0.99,1,2,0:0.01/1:0.99,2,0,2,0:0.01/1:0.99,1,0:0.01/2:0.99,2,0,0:0.01/2:0.99,0,0,0,0,2,1,0,0,0:0.01/1:0.99,0:0.01/2:0.99,0,1,2,0,0,1,0:0.01/2:0.99,1,0,0:0.01/2:0.99,0,0,0,0,0,0,0:0.01/1:0.99,0,0:0.01/1:0.99,1,1,1,0:0.01/1:0.99,0:0.01/1:0.99,1,0:0.01/1:0.99,0:0.01/2:0.99,2,2,0,2,1,1,1,0,1,2,1,0,2,0,2,1,0,1,0,2,2,0:0.01/1:0.99,1,0,1,2,2,1,0:0.01/1:0.99,2,1,0:0.01/1:0.99,0:0.01/2:0.99,2,1,0,0,0,1,2,2,0,0,0,2,0,0:0.01/1:0.99,0,2,1,2,2,2
216_10,2,1,1,1,1,1,2,0,2,1,1,2,2,1,1,0,1,2,1,0,2,0,2,0,1,2,1,0,1,0,0,2,2,1,0,0,1,0,2,2,2,0,2,2,2,2,0,1,2,2,2,2,2,1,1,2,1,2,0,2,0,1,1,2,0,1,2,0,2,2,1,2,0,0,1,2,2,1,0,2,1,2,2,1,1,1,2,1,0,0,0,1,2,0,0,1,2,1,1,2,1,2,1,2,1,1,2,2,0,2,0,0,0,0,2,1,0,0,1,2,0,1,2,0,0,1,2,1,0,2,0,2,0,0,1,0,1,0,1,1,1,1,1,1,1,1,2,2,2,0,2,1,1,1,0,1,2,1,0,2,1,2,1,0,1,0,2,2,1,1,2,1,2,2,1,1,2,1,1,2,2,1,0,2,0,1,2,2,0,0,0,2,0,1,0,2,1,2,2,2
216_9,2,1,1,1,1,1,2,0,0,1,1,2,0,1,1,0,1,2,1,0,2,0,2,0,1,2,1,0,1,0,0,2,2,1,0,0,1,1,2,2,2,0,2,2,2,2,1,1,2,2,2,2,2,1,1,2,1,2,0,2,0,1,1,2,0,1,2,0,2,2,1,2,0,0,1,2,2,1,0,2,1,2,2,1,1,1,2,1,0,0,0,1,2,0,0,1,2,1,1,2,1,2,0,2,1,1,2,2,0,2,0,0,0,0,2,1,0,0,1,2,0,1,2,0,0,1,2,1,0,2,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,2,2,2,0,2,1,1,1,0,1,2,1,0,2,0,2,1,1,1,0,2,2,1,1,0,1,2,2,1,1,2,1,1,2,2,1,0,0,0,1,2,2,0,1,0,2,0,1,0,2,1,2,2,2
150_5,0:0.01/2:0.99,0,1,0:0.01/1:0.99,1,1,2,0,0,1,1,2,0,1,0:0.01/1:0.99,0,0:0.01/1:0.99,0,1,0,0:0.09/1:0.91,0:0.09/1:0.91,2,0,1,2,1,0,0,0,0,2,2,0:0.01/1:0.99,0,0:0.09/2:0.91,1,0:0.09/1:0.91,0:0.09/1:0.91,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0,1,2,2,2,0,2,0:0.01/1:0.99,0:0.09/2:0.91,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0,2,0,0,0,0:0.01/2:0.99,0,0,2,0,0:0.01/2:0.99,2,0,2,0,0,1,2,0,0,0:0.09/2:0.91,0,0:0.01/1:0.99,2,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.01/1:0.99,2,1,0:0.09/1:0.91,0:0.09/1:0.91,0,0:0.01/1:0.99,2,0,0,0:0.01/1:0.99,0,0,1,0:0.01/2:0.99,0:0.09/2:0.91,2,0,2,0,0:0.01/1:0.99,0,2,0,0,0,0:0.09/2:0.91,0,0,2,0:0.01/1:0.99,0,0,0,0:0.09/1:0.91,0,0:0.01/1:0.99,0:0.01/2:0.99,0:0.09/2:0.91,0,1,0,0:0.01/1:0.99,0,0,0,0:0.09/1:0.91,0,0,0,0,0,0,0,1,1,1,0,0,0:0.01/1:0.99,0:0.09/2:0.91,0,2,0:0.01/2:0.99,0,2,0:0.01/1:0.99,0:0.01/1:0.99,1,0:0.09/1:0.91,1,0:0.01/2:0.99,0:0.01/1:0.99,0,2,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.09/2:0.91,0:0.01/1:0.99,0,0:0.01/2:0.99,2,0,0:0.01/1:0.99,0,1,0:0.01/2:0.99,2,0:0.01/1:0.99,0,2,1,0,0,0:0.01/2:0.99,1,0,0,0,1,2,2,0,0,0:0.09/2:0.91,2,0,0,0,2,1,2,2,2
216_15,2,2,1,1,1,1,2,0,0,1,1,2,2,1,1,0,1,0,1,0,1,1,2,0,1,2,1,0,0,2,0,2,2,1,2,2,1,1,1,2,2,0,2,2,2,2,0,1,2,2,2,0,2,1,2,2,1,2,0,2,0,0,0,2,0,0,2,0,2,2,0,2,0,0,1,2,0,0,2,0,1,2,2,2,1,1,2,1,1,1,0,1,2,0,0,1,1,2,1,2,2,2,0,2,0,1,0,2,0,2,0,2,0,0,2,1,1,0,1,1,2,1,2,2,0,1,2,1,0,0,0,1,0,0,0,0,2,0,1,1,1,1,0,1,1,2,0,2,2,0,2,1,1,1,1,1,2,1,0,2,0,2,1,2,1,0,2,2,0,1,0,1,2,2,1,0,2,1,0,0,2,1,0,0,0,1,2,2,0,0,2,2,1,0,2,2,1,2,2,2
187_7,2,0,1,1,1,1,2,0,0,1,1,2,0,1,1,0,1,0:0.02/2:0.98,1,0,1,1,2,0:0.02/2:0.98,1,2,1,0,0,0,0,2,2,1,0,2,1,1,1,2,2,0,0:0.02/1:0.98,2,2,0,0,1,2,2,2,0:0.02/2:0.98,2,1,2,2,1,2,0,2,0,0,0,2,0,0,2,0:0.02/1:0.98,2,2,0,2,0:0.02/2:0.98,0,1,2,0,0,2,0:0.02/2:0.98,1,2,2,0,1,1,2,1,1,1,0,1,2,0,0,1,0,0,1,2,2,2,0:0.02/2:0.98,2,0,1,0,2,0:0.02/1:0.98,0,0,2,0,0,2,1,0,0,0,1,0,1,2,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0:0.02/2:0.98,0,1,2,0,2,2,0,2,1,1,1,1,1,2,1,0,2,0,2,1,2,1,0,2,2,0:0.02/1:0.98,1,0,1,2,2,1,0,2,1,0,0:0.02/2:0.98,2,1,0:0.02/1:0.98,0,0,1,2,2,0,0,2,2,0:0.02/2:0.98,0,0,2,1,2,2,2
216_14,2,0,1,1,1,1,2,0,0,1,1,2,0,1,1,2,1,2,1,2,1,1,2,2,1,2,1,0,0,0,0,2,2,1,0,2,1,1,1,2,2,0,1,2,2,2,0,1,2,2,2,2,2,1,2,2,1,2,0,2,0,0,0,2,0,0,2,1,2,2,0,2,2,0,1,2,0,0,2,2,1,2,2,0,1,1,2,1,1,1,1,1,2,0,0,1,0,0,1,2,2,2,2,2,0,1,0,2,1,0,0,2,0,0,2,1,0,0,0,1,0,1,2,2,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,2,0,1,2,1,2,2,0,2,1,1,1,1,1,2,1,0,2,0,2,1,2,1,0,2,2,1,1,0,1,2,2,1,0,2,1,0,2,2,1,1,0,1,1,2,2,0,0,2,2,2,0,0,2,1,2,2,2
216_13,2,0,1,1,1,1,2,0,0,1,1,2,0,1,1,0,1,2,1,0,1,1,2,2,1,2,1,0,0,0,0,2,2,1,0,2,1,1,1,2,2,2,1,2,2,0,0,1,2,2,2,2,2,1,2,2,1,2,0,2,0,0,2,2,2,0,2,1,2,2,0,2,2,0,1,2,0,0,2,2,1,2,2,0,1,1,2,1,1,1,0,1,2,0,0,1,0,0,1,2,2,2,2,2,0,1,0,2,1,0,0,2,2,0,2,1,0,2,0,1,0,1,2,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,2,0,1,2,0,2,2,0,2,1,1,1,1,1,2,1,0,2,0,2,1,2,1,0,2,2,1,1,0,1,2,2,1,0,2,1,2,2,2,1,1,0,0,1,2,2,0,0,2,2,2,0,0,2,1,2,2,2
