[&R] (((((216_10:6.129,216_11:2.129)181_9:14.353,(216_7:0.002,216_8:1.002)214_7:16.48)127_3:21.586,(((216_13:1.018,216_14:2.018)213_12:6.159,216_12:3.177)177_9:9.005,216_15:19.183)130_5:25.885)80_2:40.933,(((216_5:3.098,216_6:4.098)183_6:11.631,(216_3:4.124,216_4:4.124)185_5:9.605)141_3:16.621,(216_1:5.276,216_2:6.276)178_1:35.073)88_1:48.652)35_1:56.998)I0;
I0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35_1,0,0:0.12/2:0.88,0:0.12/1:0.88,0:0.12/1:0.88,0,0,0:0.12/2:0.88,0:0.12/2:0.88,0:0.12/1:0.88,0:0.12/1:0.88,0,0:0.12/2:0.88,0:0.12/1:0.88,0,0,0,0,0,0,0,0:0.12/1:0.88,0,0,0,0,0,0,0:0.12/2:0.88,0,0,0:0.12/1:0.88,0:0.12/1:0.88,0:0.12/2:0.88,0,0,0:0.12/1:0.88,0,0:0.12/1:0.88,0,0,0:0.12/2:0.88,0:0.12/1:0.88,0,0,0,0:0.12/2:0.88,0,0,0,0,0,0,0:0.12/2:0.88,0,0,0,0,0,0:0.12/2:0.88,0:0.12/2:0.88,0,0:0.12/1:0.88,0,0,0,0,0,0,0:0.12/2:0.88,0,0,0:0.12/1:0.88,0,0:0.12/2:0.88,0,0,0,0:0.12/1:0.88,0,0,0,0,0,0:0.12/2:0.88,0:0.12/2:0.88,0,0,0:0.12/2:0.88,0,0,0,0,0:0.12/2:0.88,0,0:0.12/1:0.88,0:0.12/1:0.88,0,0,0:0.12/2:0.88,0:0.12/2:0.88,0:0.12/1:0.88,0,0,0:0.12/2:0.88,0:0.12/2:0.88,0,0:0.12/1:0.88,0:0.12/2:0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:0.12/2:0.88,0:0.12/2:0.88,0,0:0.12/2:0.88,0,0:0.12/1:0.88,0,0,0:0.12/1:0.88,0,0,0,0,0:0.12/1:0.88,0,0:0.12/2:0.88,0,0:0.12/2:0.88,0:0.12/1:0.88,0,0,0:0.12/1:0.88,0:0.12/2:0.88,0,0,0,0,0,0,0:0.12/2:0.88,0:0.12/2:0.88,0,0,0,0,0,0,0,0,0:0.12/2:0.88,0,0:0.12/1:0.88,0,0:0.12/2:0.88,0,0,0:0.12/1:0.88,0,0:0.12/1:0.88,0,0,0:0.12/1:0.88,0,0:0.12/1:0.88,0:0.12/2:0.88,0,0,0,0,0:0.12/2:0.88,0,0,0:0.12/1:0.88,0:0.12/2:0.88,0,0,0,0,0,0,0:0.12/1:0.88
88_1,0:0.06/1:0.94,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0:0.06/1:0.94,0,0:0.06/2:0.94,0:0.06/2:0.94,0,0:0.01/1:0.99,0,0,0,0:0.06/1:0.94,0:0.06/2:0.94,0,0:0.01/2:0.99,0,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0,0:0.06/1:0.94,0:0.01/1:0.99,0,0:0.01/1:0.99,0:0.06/2:0.94,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.06/1:0.94,0,0:0.06/1:0.94,0:0.01/2:0.99,0,0:0.06/1:0.94,0,0,0:0.06/2:0.94,0:0.06/1:0.94,0:0.01/2:0.99,0:0.06/2:0.94,0,0,0:0.06/2:0.94,0:0.06/2:0.94,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.06/1:0.94,0,0,0,0,0:0.06/1:0.94,0:0.01/2:0.99,0:0.06/1:0.94,0:0.06/2:0.94,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0,0,0:0.01/1:0.99,0,0,0,0:0.06/2:0.94,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.06/1:0.94,0,0:0.01/2:0.99,0,0:0.06/1:0.94,0,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.01/2:0.99,0,0:0.06/1:0.94,0,0,0,0,0,0:0.06/1:0.94,0,0,0:0.06/1:0.94,0:0.06/2:0.94,0,0,0,0,0,0,0:0.06/2:0.94,0:0.06/1:0.94,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.06/1:0.94,0:0.01/2:0.99,0,0:0.01/1:0.99,0,0:0.06/1:0.94,0:0.01/1:0.99,0:0.06/1:0.94,0:0.06/2:0.94,0:0.06/2:0.94,0:0.06/1:0.94,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0,0:0.06/1:0.94,0:0.06/1:0.94,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.06/2:0.94,0:0.06/2:0.94,0,0,0,0,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.06/1:0.94,0:0.01/2:0.99,0,0,0:0.01/1:0.99,0,0:0.01/1:0.99,0:0.06/1:0.94,0,0:0.01/1:0.99,0,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0,0,0:0.01/2:0.99,0,0,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0:0.06/1:0.94,0,0:0.06/2:0.94,0:0.06/2:0.94,0:0.01/1:0.99
178_1,1,2,1,1,0:0.01/1:0.99,0,2,2,1,1,0:0.01/2:0.99,2,1,0,0:0.01/1:0.99,1,0:0.01/2:0.99,2,2,0,1,0:0.01/2:0.99,0,0:0.01/1:0.99,1,2,0,2,0,0,1,1,2,0,1,1,0:0.01/2:0.99,1,2,0:0.01/2:0.99,2,1,1,0:0.01/1:0.99,1,2,0,1,0,0,2,1,2,2,0:0.01/2:0.99,0,2,2,2,2,0:0.01/2:0.99,1,1,0,0:0.01/1:0.99,0,0,1,2,1,2,1,0,2,0,0,0:0.01/2:0.99,1,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,2,0,2,2,1,0:0.01/2:0.99,2,0,1,0:0.01/1:0.99,0,2,0,1,1,0,0,2,2,1,0,0,2,2,0,1,2,0,1,0,0:0.01/2:0.99,0,0,0:0.01/1:0.99,1,0,0:0.01/2:0.99,1,2,0,0:0.01/1:0.99,0,0,0,0,2,1,0,2,2,1,2,0:0.01/1:0.99,1,0,1,1,1,2,2,1,1,0,2,0,2,1,0,0:0.01/1:0.99,1,2,0:0.01/2:0.99,0:0.01/2:0.99,0,1,1,0,2,2,0:0.01/2:0.99,2,2,0,0:0.01/2:0.99,0,0,0,2,0,1,1,2,0:0.01/1:0.99,0,1,0,1,1,0:0.01/1:0.99,1,0,1,2,0,0,0,0,2,0,0,1,2,0,0:0.01/2:0.99,1,0:0.01/1:0.99,2,2,1
216_2,1,2,1,1,1,0,2,2,1,1,2,2,1,2,1,1,2,2,2,0,1,2,0,1,1,2,0,2,0,0,1,1,2,0,1,1,2,1,2,2,2,1,1,1,1,2,0,1,0,0,2,1,2,2,2,0,2,2,2,2,2,1,1,0,1,0,2,1,2,1,2,1,0,2,0,0,2,1,2,2,2,2,0,2,2,1,2,2,0,1,1,0,2,0,1,1,0,0,2,2,1,0,0,2,2,0,1,2,0,1,0,2,0,0,1,1,0,2,1,2,0,1,2,0,0,0,2,1,2,2,2,1,2,1,1,0,1,1,1,2,2,1,1,0,2,0,2,1,0,1,1,2,2,2,2,1,1,0,2,2,2,2,2,0,2,0,0,0,2,0,1,1,2,1,0,1,2,1,1,1,1,0,1,2,0,0,0,0,2,0,0,1,2,0,2,1,1,2,2,1
216_1,1,2,1,1,1,0,2,2,1,1,2,2,1,0,1,1,2,2,2,2,1,2,0,1,1,2,0,2,0,0,1,1,2,0,1,1,2,1,2,2,2,1,1,1,1,2,2,1,0,0,2,1,2,2,2,1,2,2,2,2,2,1,1,0,1,0,0,1,2,1,2,1,0,2,0,0,2,1,2,2,2,2,0,2,2,1,2,2,0,1,1,0,2,0,1,1,0,1,2,2,1,0,0,2,2,0,1,2,0,1,0,2,0,0,1,1,0,2,1,2,0,1,0,0,0,0,2,1,0,2,2,1,2,1,1,0,1,1,1,2,2,1,1,0,2,0,2,1,0,1,1,2,2,2,0,1,1,0,2,2,2,2,2,2,2,0,0,0,2,0,1,1,2,1,0,1,0,1,1,1,1,0,1,2,0,0,0,0,2,0,0,1,2,0,2,1,1,2,2,1
141_3,1,2,1,1,0,0:0.04/2:0.96,2,2,1,1,0:0.04/1:0.96,2,1,0,0,1,0:0.04/1:0.96,2,2,0:0.04/2:0.96,1,0,0,0:0.04/2:0.96,1,2,0,2,0,0,1,1,2,0:0.04/1:0.96,1,1,0,1,2,0,2,1,1,0,1,2,0:0.04/2:0.96,1,0,0,2,1,2,2,0,0,2,2,2,2,0,1,1,0,0,0,0,1,2,1,2,1,0,2,0,0,0,1,0,0,0,2,0,2,2,1,0,2,0,1,0,0,2,0,1,1,0,0,2,2,1,0,0,2,2,0,1,2,0,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0:0.04/2:0.96,0,0,2,1,0,2,2,1,2,0,1,0,1,1,1,2,2,1,1,0:0.04/1:0.96,2,0,2,1,0:0.04/2:0.96,0,1,2,0,0,0,1,1,0,2,2,0,2,2,0,0,0,0,0:0.04/2:0.96,2,0,1,1,2,0,0,1,0,1,1,0,1,0,1,2,0:0.04/1:0.96,0:0.04/1:0.96,0,0:0.04/1:0.96,2,0,0,1,2,0,0,1,0,2,2,1
185_5,1,2,1,1,0,2,2,2,1,1,1,2,1,0,0,1,1,2,2,2,1,0:0.01/2:0.99,0,2,1,2,0,2,0,0,1,1,2,1,1,1,0:0.01/1:0.99,1,2,0,2,1,1,0,1,2,2,1,0,0:0.01/2:0.99,2,1,2,2,0,0,2,2,2,2,0,1,1,0,0,0,0,1,2,1,2,1,0,2,0,0,0,1,0:0.01/1:0.99,0:0.01/2:0.99,0,2,0,2,2,1,0,2,0,1,0,0,2,0,1,1,0,0,2,2,1,0:0.01/2:0.99,0,2,2,0,1,2,0,1,0,0,0,0,0,1,0,0,1,2,0,0,0:0.01/1:0.99,2,0,0,2,1,0,2,2,1,2,0,1,0,1,1,1,2,2,1,1,1,2,0,2,1,2,0,1,2,0,0,0:0.01/2:0.99,1,1,0,2,2,0,2,2,0,0,0,0,2,2,0,1,1,2,0,0,1,0,1,1,0,1,0,1,2,1,1,0,1,2,0,0,1,2,0,0:0.01/1:0.99,1,0,2,2,1
216_4,1,2,1,1,0,2,2,2,1,1,1,2,1,0,0,1,1,2,2,2,1,2,0,2,1,2,2,2,0,0,1,1,2,1,1,1,1,1,2,0,2,1,1,0,1,2,2,1,0,2,2,1,2,2,0,0,2,2,2,2,0,1,1,0,0,0,0,1,2,1,2,1,0,2,0,0,0,1,1,2,0,2,0,2,2,1,0,2,0,1,0,1,2,0,1,1,0,0,2,2,1,2,0,2,2,0,1,2,0,1,0,0,0,0,0,1,0,0,1,2,0,0,1,2,1,0,2,1,0,2,2,1,2,0,1,0,1,1,1,2,2,1,1,1,2,0,2,1,2,1,1,2,0,0,2,1,1,0,2,2,0,2,2,0,0,0,0,2,2,0,1,1,2,0,0,1,0,1,1,0,1,0,1,2,1,1,0,1,2,0,0,1,2,0,1,1,0,2,2,1
216_3,1,2,1,1,0,2,2,2,1,1,1,2,1,0,0,1,1,2,2,2,1,2,0,2,1,2,0,2,0,0,1,1,2,1,1,1,1,1,2,0,2,1,1,0,1,2,2,1,0,2,2,1,2,2,0,0,2,2,2,2,0,1,1,0,0,0,0,1,2,1,2,1,0,2,0,0,0,1,1,2,0,2,0,2,2,1,0,2,1,1,1,0,2,0,1,1,0,0,2,2,1,2,0,2,2,0,1,2,0,1,0,0,0,0,0,1,0,0,1,2,0,0,1,2,0,0,2,1,2,2,2,1,2,0,1,0,1,1,1,2,2,1,1,1,2,0,2,1,2,0,1,2,0,0,2,1,1,0,2,2,0,2,2,0,0,0,0,2,2,0,1,1,2,0,0,1,0,1,1,0,1,0,1,2,1,1,0,1,2,0,0,1,2,0,1,1,1,2,2,1
183_6,1,2,1,1,0,2,2,2,1,1,1,2,1,0,0,1,1,2,2,2,1,0,0,2,1,2,0:0.01/2:0.99,2,0,0,1,1,2,1,1,1,0,1,2,0,2,1,1,0,1,2,2,1,0:0.01/1:0.99,0:0.01/1:0.99,2,1,2,2,0,0,2,2,2,2,0,1,1,0,0,0,0,1,2,1,2,1,0,2,0,0,0,1,0,0,0,2,0,2,2,1,0,2,0,1,0:0.01/2:0.99,0,2,0,1,1,0,0,2,2,1,0:0.01/1:0.99,0,2,2,0,1,2,0:0.01/1:0.99,1,0,0,0,0,0,1,0,0:0.01/1:0.99,1,2,0,0,0,2,0,0,2,1,0,2,2,1,2,0:0.01/1:0.99,1,0,1,1,1,2,2,1,1,1,2,0:0.01/2:0.99,2,1,2,0,1,2,0,0,0,1,1,0,2,2,0,2,2,0,0,0:0.01/2:0.99,0,2,2,0,1,1,2,0,0,1,0,1,1,0,1,0,1,2,1,1,0,1,2,0,0,1,2,0,0,1,0:0.01/2:0.99,2,2,1
