[&R] (((((216_10:7.345,216_11:6.345)181_9:21.1,(216_7:1.054,216_8:4.054)214_7:28.391)127_3:16.406,(((216_13:2.009,216_14:0.009)213_12:11.21,216_12:14.22)177_9:11.519,216_15:20.739)130_5:28.112)80_2:48.154,(((216_5:8.435,216_6:6.435)183_6:12.908,(216_3:7.386,216_4:6.386)185_5:14.958)141_3:27.876,(216_1:17.675,216_2:12.675)178_1:35.544)88_1:48.785)35_1:46.996)I0;
I0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35_1,0,0,0,0:0.16/1:0.84,0:0.16/1:0.84,0,0:0.16/2:0.84,0,0,0,0:0.16/2:0.84,0:0.16/2:0.84,0:0.16/2:0.84,0:0.16/1:0.84,0:0.16/2:0.84,0,0,0,0,0,0,0,0,0,0,0:0.16/1:0.84,0,0,0,0:0.16/2:0.84,0:0.16/2:0.84,0,0,0,0,0,0,0,0,0,0,0:0.16/1:0.84,0:0.16/1:0.84,0,0,0:0.16/2:0.84,0:0.16/2:0.84,0,0,0,0,0,0,0,0,0,0,0:0.16/1:0.84,0,0,0,0,0,0:0.16/1:0.84,0:0.16/1:0.84,0:0.16/1:0.84,0,0:0.16/1:0.84,0,0,0:0.16/1:0.84,0,0:0.16/2:0.84,0,0,0,0,0,0:0.16/2:0.84,0,0,0:0.16/2:0.84,0,0,0:0.16/2:0.84,0,0,0,0,0:0.16/1:0.84,0,0,0,0,0,0,0,0:0.16/2:0.84,0:0.16/1:0.84,0,0,0:0.16/1:0.84,0:0.16/1:0.84,0,0,0:0.16/1:0.84,0,0,0:0.16/2:0.84,0,0,0:0.16/1:0.84,0,0,0,0,0,0:0.16/1:0.84,0,0:0.16/2:0.84,0,0,0,0,0,0:0.16/1:0.84,0,0:0.16/1:0.84,0,0,0,0:0.16/1:0.84,0,0,0:0.16/2:0.84,0,0,0,0,0:0.16/1:0.84,0,0:0.16/1:0.84,0,0,0:0.16/2:0.84,0,0,0,0,0:0.16/1:0.84,0:0.16/1:0.84,0:0.16/2:0.84,0,0,0,0,0,0,0,0,0,0,0,0:0.16/2:0.84,0:0.16/1:0.84,0,0,0,0,0:0.16/2:0.84,0:0.16/1:0.84,0,0,0,0:0.16/1:0.84,0,0,0,0,0,0,0:0.16/1:0.84,0,0,0,0:0.16/1:0.84,0:0.16/1:0.84,0,0,0:0.16/2:0.84,0,0,0,0:0.16/2:0.84,0,0,0,0,0:0.16/2:0.84,0
88_1,0:0.1/2:0.9,0,0,0:0.02/1:0.98,0:0.02/1:0.98,0,0:0.02/2:0.98,0:0.1/1:0.9,0,0,0:0.02/2:0.98,0:0.02/2:0.98,0:0.02/2:0.98,0:0.02/1:0.98,0:0.02/2:0.98,0,0,0:0.1/1:0.9,0:0.1/1:0.9,0,0,0,0:0.1/2:0.9,0:0.1/2:0.9,0,0:0.02/1:0.98,0,0,0,0:0.02/2:0.98,0:0.02/2:0.98,0,0,0,0,0,0,0,0,0,0,0:0.02/1:0.98,0:0.02/1:0.98,0:0.1/1:0.9,0,0:0.02/2:0.98,0:0.02/2:0.98,0,0,0,0,0:0.1/2:0.9,0,0:0.1/2:0.9,0:0.1/1:0.9,0,0,0:0.02/1:0.98,0:0.1/1:0.9,0,0,0,0,0:0.02/1:0.98,0:0.02/1:0.98,0:0.02/1:0.98,0,0:0.02/1:0.98,0,0,0:0.02/1:0.98,0:0.1/2:0.9,0:0.02/2:0.98,0,0,0:0.1/2:0.9,0:0.1/1:0.9,0,0:0.02/2:0.98,0,0,0:0.02/2:0.98,0,0,0:0.02/2:0.98,0,0,0,0,0:0.02/1:0.98,0,0,0,0,0,0,0,0:0.02/2:0.98,0:0.02/1:0.98,0:0.1/1:0.9,0,0:0.02/1:0.98,0:0.02/1:0.98,0:0.1/1:0.9,0,0:0.02/1:0.98,0,0:0.1/1:0.9,0:0.02/2:0.98,0:0.1/1:0.9,0,0:0.02/1:0.98,0:0.1/1:0.9,0,0,0,0,0:0.02/1:0.98,0:0.1/2:0.9,0:0.02/2:0.98,0:0.1/1:0.9,0,0:0.1/1:0.9,0:0.1/1:0.9,0:0.1/1:0.9,0:0.02/1:0.98,0,0:0.02/1:0.98,0,0,0:0.1/2:0.9,0:0.02/1:0.98,0,0,0:0.02/2:0.98,0,0,0,0,0:0.02/1:0.98,0,0:0.02/1:0.98,0,0:0.1/2:0.9,0:0.02/2:0.98,0:0.1/2:0.9,0,0,0,0:0.02/1:0.98,0:0.02/1:0.98,0:0.02/2:0.98,0,0:0.1/1:0.9,0,0:0.1/1:0.9,0:0.1/1:0.9,0:0.1/1:0.9,0,0:0.1/2:0.9,0,0:0.1/2:0.9,0,0:0.02/2:0.98,0:0.02/1:0.98,0,0,0:0.1/2:0.9,0,0:0.02/2:0.98,0:0.02/1:0.98,0,0,0,0:0.02/1:0.98,0:0.1/2:0.9,0,0:0.1/2:0.9,0:0.1/2:0.9,0:0.1/2:0.9,0,0:0.02/1:0.98,0,0:0.1/1:0.9,0:0.1/2:0.9,0:0.02/1:0.98,0:0.02/1:0.98,0:0.1/2:0.9,0,0:0.02/2:0.98,0,0,0:0.1/2:0.9,0:0.02/2:0.98,0:0.1/1:0.9,0,0:0.1/1:0.9,0,0:0.02/2:0.98,0:0.1/2:0.9
178_1,2,0,0,1,1,0:0.05/2:0.95,2,1,0:0.05/1:0.95,0,2,2,2,1,2,0,0:0.05/2:0.95,1,1,0:0.05/2:0.95,0,0,2,2,0,1,0,0,0:0.05/1:0.95,2,2,0,0,0,0:0.05/1:0.95,0:0.05/1:0.95,0,0:0.05/1:0.95,0:0.05/1:0.95,0:0.05/1:0.95,0,1,1,1,0:0.05/1:0.95,2,2,0:0.05/1:0.95,0,0,0:0.05/2:0.95,2,0,2,1,0,0,1,1,0,0:0.05/1:0.95,0,0:0.05/2:0.95,1,1,1,0,1,0:0.05/1:0.95,0,1,2,2,0,0:0.05/2:0.95,2,1,0,2,0,0,2,0,0,2,0,0,0,0,1,0:0.05/1:0.95,0,0,0,0:0.05/2:0.95,0,0:0.05/1:0.95,2,1,1,0:0.05/1:0.95,1,1,1,0:0.05/1:0.95,1,0,1,2,1,0,1,1,0,0,0,0,1,2,2,1,0,1,1,1,1,0,1,0,0:0.05/1:0.95,2,1,0,0,2,0,0,0,0,1,0,1,0,2,2,2,0:0.05/1:0.95,0,0:0.05/2:0.95,1,1,2,0,1,0,1,1,1,0:0.05/2:0.95,2,0,2,0,2,1,0,0,2,0:0.05/1:0.95,2,1,0,0,0,1,2,0,2,2,2,0:0.05/1:0.95,1,0:0.05/2:0.95,1,2,1,1,2,0:0.05/1:0.95,2,0,0:0.05/1:0.95,2,2,1,0:0.05/2:0.95,1,0,2,2
216_2,2,0,1,1,1,2,2,1,1,0,2,2,2,1,2,0,2,1,1,2,0,0,2,2,0,1,0,0,1,2,2,0,1,0,1,1,2,1,1,1,0,1,1,1,1,2,2,1,0,0,2,2,0,2,1,0,1,1,1,0,1,0,2,1,1,1,0,1,1,0,1,2,2,0,2,2,1,0,2,0,0,2,0,0,2,0,0,0,0,1,1,0,0,0,2,2,1,2,1,1,1,1,1,1,1,1,0,1,2,1,0,1,1,0,0,0,0,1,2,2,1,0,1,1,1,1,0,1,0,1,2,1,0,0,2,0,0,0,2,1,0,1,1,2,2,2,1,1,2,1,1,2,0,1,0,1,1,1,2,2,0,2,0,2,1,0,1,2,1,2,1,2,0,0,1,2,0,2,2,2,1,1,2,1,2,1,1,2,1,2,1,1,2,2,1,2,1,0,2,2
216_1,2,0,0,1,1,2,2,1,1,0,2,2,2,1,2,0,2,1,1,2,1,0,2,2,0,1,0,0,1,2,2,0,0,1,1,1,0,1,1,1,0,1,1,1,1,2,2,1,0,0,2,2,0,2,1,1,0,1,1,0,1,0,2,1,1,1,0,1,1,0,1,2,2,0,2,2,1,0,2,1,0,2,2,0,2,0,1,2,0,1,1,0,0,2,2,0,1,2,1,1,1,1,1,1,1,1,0,1,2,1,0,1,1,0,0,1,0,1,2,2,1,1,1,1,1,1,0,1,1,1,2,1,0,1,2,0,0,0,0,1,0,1,0,2,2,2,1,0,2,1,1,2,1,1,0,1,1,1,2,2,0,2,2,2,1,0,0,2,1,2,1,1,0,2,1,2,0,2,2,2,1,1,2,1,2,1,1,2,1,2,0,1,2,2,1,2,1,0,2,2
141_3,2,0:0.05/1:0.95,0,1,1,0,2,1,0,0,2,2,2,1,2,0:0.05/1:0.95,0,1,1,0,0,0:0.05/1:0.95,2,2,0,1,0,0,0,2,2,0,0,0,0,0,0:0.05/2:0.95,0,0:0.05/2:0.95,0,0:0.05/1:0.95,1,1,1,0,2,2,0,0,0,0,2,0,2,1,0,0,1,1,0:0.05/1:0.95,0,0,0,1,1,1,0,1,0,0,1,2,2,0,0:0.05/1:0.95,2,1,0:0.05/1:0.95,2,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0:0.05/1:0.95,0,0:0.05/1:0.95,0,2,1,1,0,1,1,1,0,1,0:0.05/1:0.95,1,2,1,0:0.05/2:0.95,1,1,0,0,0,0,1,2,2,1,0,1,1,1,1,0:0.05/1:0.95,1,0:0.05/1:0.95,0:0.05/2:0.95,2,1,0,0:0.05/2:0.95,2,0,0:0.05/2:0.95,0:0.05/1:0.95,0,1,0,1,0:0.05/2:0.95,2,2,2,0,0,0,1,1,2,0,1,0,1,1,1,0,2,0,2,0,2,1,0,0,2,0,2,1,0:0.05/2:0.95,0:0.05/2:0.95,0,1,2,0,2,2,2,0,1,0,1,2,1,1,2,0,2,0:0.05/2:0.95,0:0.05/2:0.95,2,2,1,0,1,0,2,2
185_5,2,1,0,1,1,0,2,1,0,0,2,2,2,1,2,1,0,1,1,0,0,1,2,2,0,1,0:0.03/1:0.97,0,0,2,2,0:0.03/2:0.97,0,0,0,0,2,0:0.03/2:0.97,2,0,1,1,1,1,0,2,2,0,0,0,0,2,0,2,1,0,0:0.03/1:0.97,1,1,1,0,0,0,1,1,1,0,1,0,0,1,2,2,0,1,2,1,1,2,0:0.03/1:0.97,0:0.03/2:0.97,2,0,0,2,0,0,0:0.03/2:0.97,0,1,0:0.03/1:0.97,0,0,1,0,1,0,2,1,1,0,1,1,1,0,1,1,1,2,1,2,1,1,0,0,0,0,1,2,2,1,0,1,1,1,1,1,1,1,2,2,1,0,2,2,0,2,1,0:0.03/1:0.97,1,0,1,2,2,2,2,0,0,0,1,1,2,0,1,0:0.03/2:0.97,1,1,1,0,2,0:0.03/2:0.97,2,0,2,1,0,0,2,0:0.03/2:0.97,2,1,2,2,0,1,2,0:0.03/1:0.97,2,2,2,0,1,0:0.03/1:0.97,1,2,1,1,2,0,2,2,2,2,2,1,0,1,0,2,2
216_4,2,1,0,1,1,0,2,1,0,0,2,2,2,1,2,1,0,1,1,1,0,1,2,2,0,1,1,0,0,2,2,2,0,0,0,0,2,2,2,0,1,1,1,1,0,2,2,0,2,2,0,2,0,2,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,2,2,0,1,2,1,1,2,1,2,2,0,0,2,0,0,2,0,1,1,0,0,1,0,1,0,2,1,1,0,1,1,1,0,1,1,1,2,1,2,1,1,0,2,2,0,1,2,2,1,0,1,1,1,1,1,1,1,2,2,1,0,2,2,0,2,1,1,1,0,1,2,2,2,2,0,0,1,1,1,2,0,1,2,1,1,1,0,2,2,2,0,2,1,0,0,2,2,2,1,2,2,0,1,2,1,2,2,2,0,1,1,1,2,1,1,2,0,2,2,2,2,2,1,0,1,0,2,2
216_3,2,1,0,1,1,0,2,1,0,0,2,2,2,1,2,1,0,1,1,0,0,1,2,2,1,1,1,1,0,2,2,2,0,0,0,0,2,2,2,0,1,1,1,1,0,2,2,0,0,0,0,2,0,2,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,2,2,0,1,2,1,1,2,1,2,2,0,2,2,0,0,2,0,1,1,0,0,1,0,1,0,2,1,1,0,1,1,1,0,1,1,1,2,1,2,1,1,0,0,0,0,1,2,2,1,2,1,1,1,1,1,1,1,2,2,1,0,2,2,2,2,1,1,1,0,1,2,2,2,2,0,0,0,1,1,2,1,1,2,1,1,1,0,2,2,2,0,2,1,0,1,2,2,2,1,2,2,0,1,2,1,2,2,2,0,1,1,1,2,1,1,2,0,2,2,2,2,2,1,0,1,0,2,2
183_6,2,1,0:0.03/1:0.97,1,1,0,2,1,0,0,2,2,2,1,2,1,0,1,1,0,0,1,2,2,0:0.03/1:0.97,1,0,0,0:0.03/1:0.97,2,2,0,0,0,0:0.03/2:0.97,0,2,0,2,0,1,1,1,1,0,2,2,0,0,0,0,2,0,2,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0:0.03/2:0.97,1,2,2,0,1,2,1,1,2,0,0,2,0,0,2,0,0,0,0:0.03/2:0.97,1,0,0,0,1,0,1,0,2,1,1,0,1,1,1,0,1,1,1,2,1,2,1,1,0,0:0.03/2:0.97,0,0,1,2,2,1,0,1,1,1,1,1,1,1,2,2,1,0,2,2,0,2,1,0,1,0,1,2,2,2,2,0,0,0,1,1,2,0:0.03/1:0.97,1,0:0.03/1:0.97,1,1,1,0,2,0,2,0,2,1,0,0,2,0,2,1,2,2,0,1,2,0,2,2,2,0,1,0:0.03/2:0.97,1,2,1,1,2,0:0.03/1:0.97,2,2,2,2,2,1,0:0.03/2:0.97,1,0,2,2
