[&R] (((((216_10:8.365,216_11:5.365)181_9:21.036,(216_7:0.001,216_8:0.001)214_7:27.4)127_3:21.763,(((216_13:1.002,216_14:0.002)213_12:9.771,216_12:9.774)177_9:12.365,216_15:24.139)130_5:33.024)80_2:45.347,(((216_5:15.309,216_6:10.309)183_6:10.432,(216_3:8.544,216_4:8.544)185_5:8.197)141_3:20.724,(216_1:5.421,216_2:7.421)178_1:46.044)88_1:59.045)35_1:47.49)I0;
I0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35_1,0,0,0,0,0:0.18/2:0.82,0,0,0:0.18/2:0.82,0,0,0,0,0,0,0:0.18/1:0.82,0,0:0.18/1:0.82,0,0,0,0,0,0:0.18/1:0.82,0,0,0,0,0,0:0.18/2:0.82,0:0.18/2:0.82,0,0:0.18/2:0.82,0,0,0,0:0.18/2:0.82,0,0,0,0:0.18/1:0.82,0,0,0,0,0,0,0,0:0.18/2:0.82,0:0.18/1:0.82,0:0.18/2:0.82,0,0:0.18/1:0.82,0,0:0.18/1:0.82,0,0:0.18/2:0.82,0,0,0,0,0,0:0.18/1:0.82,0,0:0.18/1:0.82,0,0,0,0,0,0:0.18/1:0.82,0,0,0:0.18/2:0.82,0,0,0,0,0,0,0,0,0,0,0:0.18/2:0.82,0,0,0,0,0:0.18/2:0.82,0,0,0,0,0:0.18/1:0.82,0,0,0,0:0.18/1:0.82,0,0:0.18/1:0.82,0:0.18/1:0.82,0,0,0,0,0,0,0:0.18/1:0.82,0,0:0.18/2:0.82,0,0,0:0.18/1:0.82,0,0:0.18/1:0.82,0,0,0,0,0,0,0,0,0,0:0.18/2:0.82,0,0,0,0,0:0.18/1:0.82,0:0.18/1:0.82,0:0.18/1:0.82,0,0,0:0.18/2:0.82,0:0.18/1:0.82,0:0.18/2:0.82,0:0.18/2:0.82,0,0:0.18/1:0.82,0:0.18/2:0.82,0,0,0,0,0,0,0,0,0:0.18/2:0.82,0:0.18/2:0.82,0:0.18/2:0.82,0,0:0.18/2:0.82,0,0,0:0.18/1:0.82,0:0.18/1:0.82,0,0,0,0,0,0:0.18/2:0.82,0,0,0,0,0,0,0:0.18/2:0.82,0:0.18/2:0.82,0,0,0:0.18/1:0.82,0:0.18/1:0.82,0,0,0,0,0:0.18/2:0.82,0:0.18/2:0.82,0:0.18/2:0.82,0,0,0,0,0,0,0,0,0,0:0.18/2:0.82,0:0.18/2:0.82,0,0,0:0.18/1:0.82,0:0.18/1:0.82,0,0
88_1,0,0:0.08/1:0.92,0,0:0.08/2:0.92,0:0.02/2:0.98,0,0:0.08/2:0.92,0:0.02/2:0.98,0:0.08/1:0.92,0:0.08/1:0.92,0:0.08/1:0.92,0:0.08/2:0.92,0,0,0:0.02/1:0.98,0,0:0.02/1:0.98,0,0,0,0,0,0:0.02/1:0.98,0:0.08/2:0.92,0:0.08/1:0.92,0:0.08/1:0.92,0:0.08/1:0.92,0,0:0.02/2:0.98,0:0.02/2:0.98,0,0:0.02/2:0.98,0,0:0.08/1:0.92,0:0.08/1:0.92,0:0.02/2:0.98,0,0,0,0:0.02/1:0.98,0,0,0,0,0:0.08/1:0.92,0,0:0.08/1:0.92,0:0.02/2:0.98,0:0.02/1:0.98,0:0.02/2:0.98,0:0.08/1:0.92,0:0.02/1:0.98,0:0.08/2:0.92,0:0.02/1:0.98,0:0.08/1:0.92,0:0.02/2:0.98,0:0.08/1:0.92,0:0.08/1:0.92,0,0,0,0:0.02/1:0.98,0,0:0.02/1:0.98,0,0:0.08/1:0.92,0,0,0,0:0.02/1:0.98,0:0.08/2:0.92,0,0:0.02/2:0.98,0,0,0,0:0.08/2:0.92,0,0:0.08/1:0.92,0,0,0:0.08/1:0.92,0,0:0.02/2:0.98,0,0:0.08/1:0.92,0:0.08/1:0.92,0,0:0.02/2:0.98,0,0:0.08/2:0.92,0:0.08/1:0.92,0,0:0.02/1:0.98,0,0,0,0:0.02/1:0.98,0:0.08/2:0.92,0:0.02/1:0.98,0:0.02/1:0.98,0,0,0,0,0,0,0:0.02/1:0.98,0,0:0.02/2:0.98,0,0,0:0.02/1:0.98,0,0:0.02/1:0.98,0,0,0,0:0.08/1:0.92,0:0.08/2:0.92,0,0:0.08/2:0.92,0:0.08/1:0.92,0,0:0.02/2:0.98,0:0.08/2:0.92,0,0,0:0.08/1:0.92,0:0.02/1:0.98,0:0.02/1:0.98,0:0.02/1:0.98,0,0:0.08/1:0.92,0:0.02/2:0.98,0:0.02/1:0.98,0:0.02/2:0.98,0:0.02/2:0.98,0,0:0.02/1:0.98,0:0.02/2:0.98,0,0,0:0.08/2:0.92,0,0,0,0,0,0:0.02/2:0.98,0:0.02/2:0.98,0:0.02/2:0.98,0,0:0.02/2:0.98,0,0:0.08/1:0.92,0:0.02/1:0.98,0:0.02/1:0.98,0,0:0.08/1:0.92,0,0:0.08/1:0.92,0:0.08/2:0.92,0:0.02/2:0.98,0:0.08/1:0.92,0,0:0.08/1:0.92,0,0:0.08/1:0.92,0:0.08/1:0.92,0:0.02/2:0.98,0:0.02/2:0.98,0,0,0:0.02/1:0.98,0:0.02/1:0.98,0:0.08/2:0.92,0,0:0.08/2:0.92,0,0:0.02/2:0.98,0:0.02/2:0.98,0:0.02/2:0.98,0,0,0:0.08/2:0.92,0,0:0.08/1:0.92,0,0,0:0.08/2:0.92,0,0:0.02/2:0.98,0:0.02/2:0.98,0:0.08/2:0.92,0:0.08/2:0.92,0:0.02/1:0.98,0:0.02/1:0.98,0,0:0.08/2:0.92
178_1,0,1,0,2,2,0,2,2,1,1,1,2,0:0.01/1:0.99,0:0.01/1:0.99,1,0,1,0,0,0:0.01/2:0.99,0,0:0.01/1:0.99,1,2,1,1,1,0,2,2,0,2,0,1,1,2,0,0,0:0.01/1:0.99,1,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/2:0.99,1,0,1,2,1,2,1,1,2,1,1,2,1,1,0:0.01/1:0.99,0:0.01/2:0.99,0,1,0,1,0,1,0,0:0.01/2:0.99,0:0.01/1:0.99,1,2,0:0.01/2:0.99,2,0,0,0,2,0:0.01/2:0.99,1,0:0.01/2:0.99,0:0.01/1:0.99,1,0,2,0,1,1,0:0.01/2:0.99,2,0:0.01/2:0.99,2,1,0,1,0,0:0.01/1:0.99,0:0.01/2:0.99,1,2,1,1,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/2:0.99,1,0,2,0,0:0.01/2:0.99,1,0,1,0:0.01/1:0.99,0:0.01/2:0.99,0,1,2,0:0.01/2:0.99,2,1,0:0.01/2:0.99,2,2,0,0:0.01/1:0.99,1,1,1,1,0:0.01/2:0.99,1,2,1,2,2,0:0.01/2:0.99,1,2,0,0:0.01/2:0.99,2,0,0,0:0.01/1:0.99,0,0,2,2,2,0:0.01/2:0.99,2,0,1,1,1,0,1,0:0.01/1:0.99,1,2,2,1,0,1,0,1,1,2,2,0,0,1,1,2,0,2,0:0.01/1:0.99,2,2,2,0,0,2,0,1,0,0,2,0:0.01/2:0.99,2,2,2,2,1,1,0:0.01/2:0.99,2
216_2,2,1,0,2,2,0,2,2,1,1,1,2,1,1,1,0,1,1,0,2,2,1,1,2,1,1,1,0,2,2,0,2,0,1,1,2,0,0,1,1,0,1,1,2,1,0,1,2,1,2,1,1,2,1,1,2,1,1,1,2,0,1,0,1,0,1,0,2,1,1,2,2,2,0,0,0,2,2,1,2,1,1,1,2,0,1,1,2,2,2,2,1,0,1,0,1,2,1,2,1,1,1,2,2,2,1,2,1,0,2,0,2,1,0,1,1,2,0,1,2,2,2,1,2,2,2,0,1,1,1,1,1,2,1,2,1,2,2,2,1,2,0,2,2,2,0,1,0,1,2,2,2,2,2,1,1,1,1,0,1,1,1,2,2,1,0,1,0,1,1,2,2,0,0,1,1,2,0,2,1,2,2,2,0,0,2,0,1,0,0,2,2,2,2,2,2,1,1,2,2
216_1,0,1,0,2,2,0,2,2,1,1,1,2,1,1,1,0,1,2,0,2,0,1,1,2,1,1,1,2,2,2,0,2,0,1,1,2,0,0,1,1,0,1,1,2,1,0,1,2,1,2,1,1,2,1,1,2,1,1,1,2,1,1,0,1,0,1,0,2,1,1,2,2,2,1,0,0,2,2,1,2,1,1,0,2,0,1,1,2,2,2,2,1,0,1,0,1,2,1,2,1,1,1,2,2,2,1,2,1,0,2,0,2,1,0,1,1,2,0,1,2,2,2,1,2,2,2,1,1,1,1,1,1,2,1,2,1,2,2,2,1,2,0,2,2,0,0,1,0,0,2,2,2,2,2,0,1,1,1,0,1,1,1,2,2,1,0,1,0,1,1,2,2,0,0,1,1,2,0,2,1,2,2,2,0,0,2,0,1,0,0,2,2,2,2,2,2,1,1,2,2
141_3,0:0.03/2:0.97,1,0:0.03/2:0.97,2,2,0:0.03/1:0.97,2,2,1,1,1,2,0,0,1,0,1,0,0,0,0,0,1,2,1,1,1,0,2,2,0:0.03/1:0.97,2,0,1,1,2,0,0,0:0.03/2:0.97,1,0,0,0,0,1,0,1,2,1,2,1,1,2,1,1,2,1,1,0,0,0:0.03/2:0.97,1,0,1,0,1,0,0,0,1,2,0,2,0,0:0.03/1:0.97,0,2,0,1,0:0.03/1:0.97,0,1,0:0.03/2:0.97,2,0,1,1,0,2,0,2,1,0,1,0,0,0,1,2,1,1,0,0,0,0,0,0,1,0,2,0,0:0.03/1:0.97,1,0,1,0,0,0:0.03/2:0.97,1,2,0,2,1,0,2,2,0,0,1,1,1,1,0,1,2,1,2,2,0,1,2,0,0,2,0,0:0.03/2:0.97,0,0,0:0.03/2:0.97,2,2,2,0,2,0,1,1,1,0,1,0,1,2,2,1,0,1,0:0.03/1:0.97,1,1,2,2,0,0:0.03/2:0.97,1,1,2,0,2,0,2,2,2,0:0.03/1:0.97,0,2,0,1,0,0,2,0,2,2,2,2,1,1,0,2
185_5,2,1,2,2,2,1,2,2,1,1,1,2,0,0,1,0,1,0,0,0,0,0,1,2,1,1,1,0,2,2,1,2,0:0.06/2:0.94,1,1,2,0,0,2,1,0,0:0.06/1:0.94,0,0,1,0:0.06/1:0.94,1,2,1,2,1,1,2,1,1,2,1,1,0,0,2,1,0,1,0,1,0,0,0,1,2,0,2,0,1,0:0.06/2:0.94,2,0,1,1,0,1,2,2,0,1,1,0,2,0,2,1,0,1,0,0,0,1,2,1,1,0,0,0,0,0,0,1,0,2,0,1,1,0,1,0,0,2,1,2,0:0.06/1:0.94,2,1,0,2,2,0,0,1,1,1,1,0,1,2,1,2,2,0,1,2,0,0,2,0:0.06/1:0.94,2,0,0,2,2,2,2,0,2,0,1,1,1,0,1,0:0.06/1:0.94,1,2,2,1,0,1,1,1,1,2,2,0,2,1,1,2,0,2,0:0.06/1:0.94,2,2,2,1,0,2,0,1,0,0,2,0,2,2,2,2,1,1,0,2
216_4,2,1,2,2,2,1,2,2,1,1,1,2,1,0,1,2,1,0,0,0,0,0,1,2,1,1,1,0,2,2,1,2,2,1,1,2,0,0,2,1,0,1,0,0,1,1,1,2,1,2,1,1,2,1,1,2,1,1,0,0,2,1,0,1,0,1,2,0,0,1,2,0,2,0,1,2,2,0,1,1,0,1,2,2,0,1,1,0,2,1,2,1,2,1,0,0,0,1,2,1,1,0,1,0,0,0,0,1,0,2,0,1,1,1,1,0,0,2,1,2,1,2,1,0,2,2,0,0,1,1,1,1,2,1,2,1,2,2,0,1,2,0,0,2,1,2,0,0,2,2,2,2,0,2,0,1,1,1,0,1,1,1,2,2,1,0,1,1,1,1,2,2,0,2,1,1,2,0,2,1,2,2,2,1,0,2,0,1,0,0,2,0,2,2,2,2,1,1,0,2
216_3,2,1,2,2,2,1,2,2,1,1,1,2,0,1,1,0,1,0,0,2,2,0,1,2,1,1,1,0,2,2,1,2,2,1,1,2,2,0,2,1,0,1,0,0,1,1,1,2,1,2,1,1,2,1,1,2,1,1,0,0,2,1,0,1,0,1,0,0,0,1,2,0,2,0,1,2,2,2,1,1,0,1,2,2,0,1,1,0,2,0,2,1,0,1,0,0,0,1,2,1,1,0,0,2,0,0,0,1,0,2,0,1,1,0,1,0,0,2,1,2,1,2,1,0,2,2,0,0,1,1,1,1,0,1,2,1,2,2,0,1,2,0,0,2,1,2,0,0,2,2,2,2,0,2,0,1,1,1,0,1,1,1,2,2,1,0,1,1,1,1,2,2,0,2,1,1,2,0,2,1,2,2,2,1,0,2,2,1,2,0,2,0,2,2,2,2,1,1,0,2
183_6,2,1,2,2,2,1,2,2,1,1,1,2,0,0,1,0:0.11/2:0.89,1,0,0,0,0,0,1,2,1,1,1,0,2,2,1,2,0,1,1,2,0,0,2,1,0,0,0,0,1,0,1,2,1,2,1,1,2,1,1,2,1,1,0,0:0.11/1:0.89,2,1,0:0.11/2:0.89,1,0,1,0,0,0,1,2,0,2,0,1,0,2,0,1,1,0:0.11/2:0.89,1,2,2,0,1,1,0,2,0,2,1,0,1,0,0:0.11/2:0.89,0,1,2,1,1,0:0.11/1:0.89,0:0.11/2:0.89,0,0:0.11/2:0.89,0,0,1,0,2,0,1,1,0,1,0,0:0.11/1:0.89,2,1,2,0,2,1,0:0.11/1:0.89,2,2,0,0,1,1,1,1,0,1,2,1,2,2,0,1,2,0,0,2,0,2,0,0,2,2,2,2,0,2,0,1,1,1,0,1,0,1,2,2,1,0,1,1,1,1,2,2,0,2,1,1,2,0,2,0,2,2,2,1,0,2,0,1,0,0,2,0:0.11/1:0.89,2,2,2,2,1,1,0,2
