cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
I0,0,0,0,0,0,0,0,0,0,0
I1,0,0,0,2,1,0,0,0,0,0
I2,0,2,0,2,1,1,0,2,1,1
216_4,0,2,0,2,1,1,0,2,1,1
216_3,0,2,0,2,1,1,0,2,1,1
I3,1,0,0,2,1,0,2,0,0,0
216_17,1,0,1,2,1,2,2,0,0,0
I4,1,0,0,2,1,0,2,0,0,0
I5,1,0,0,2,1,0,2,0,0,0
216_11,1,0,0,2,1,0,2,0,0,0
216_10,1,0,0,2,1,0,2,0,0,0
I6,1,0,0,2,1,0,2,0,0,0
216_13,1,0,0,2,1,0,2,0,0,0
216_12,1,0,0,2,1,0,2,0,0,0
I7,0,0,0,0,0,0,0,0,0,0
I8,0,2,0,2,0,0,0,2,0,2
I9,0,2,1,2,0,0,0,2,0,2
I10,0,2,1,2,0,0,0,2,0,2
216_23,0,2,1,2,0,0,0,2,0,2
216_22,0,2,1,2,0,0,0,2,0,2
I11,0,2,1,2,2,0,1,2,0,2
216_21,0,2,1,2,2,0,1,2,0,2
216_20,0,2,1,2,2,0,1,2,0,2
I12,0,2,0,2,0,0,0,2,1,2
I13,0,2,0,2,0,0,0,2,1,2
216_25,0,2,0,2,0,0,0,2,1,2
216_24,0,2,0,2,1,0,0,2,1,2
I14,0,2,0,2,0,0,0,2,1,2
216_27,0,2,0,2,0,0,0,2,1,2
216_26,0,2,0,2,0,0,0,2,1,2
I15,0,0,0,0,0,2,0,0,0,0
I16,2,0,0,2,0,2,0,0,1,0
I17,2,2,0,2,2,2,0,2,1,0
I18,2,2,0,2,2,2,0,2,1,0
216_39,2,2,0,2,2,2,0,2,1,0
216_38,2,2,0,2,2,2,0,2,1,0
I19,2,2,0,2,2,2,0,2,1,0
216_37,2,2,0,2,2,2,0,2,1,0
216_36,2,2,0,2,2,2,0,2,1,0
I20,2,0,0,2,0,2,0,0,1,0
I21,2,0,0,2,0,2,0,0,1,0
216_35,2,0,0,2,0,2,0,0,1,0
216_34,2,0,0,2,0,2,0,0,1,0
I22,2,0,0,2,0,2,0,0,1,0
216_33,2,0,0,2,0,2,0,0,1,0
216_32,2,0,0,2,0,2,2,0,1,0
I23,0,0,0,0,0,2,0,0,0,0
I24,1,0,0,0,0,2,2,0,0,0
I25,1,0,0,0,0,2,2,0,0,0
216_47,1,0,0,0,0,2,2,0,0,0
216_46,1,0,0,0,0,2,2,0,0,0
I26,1,0,0,0,2,2,2,0,0,0
216_45,1,0,0,0,2,2,2,0,0,0
216_44,1,0,0,0,2,2,2,0,0,0
I27,0,0,0,0,0,2,0,2,0,0
I28,0,0,0,0,0,2,0,2,0,2
216_41,0,0,0,0,2,2,0,2,0,2
216_40,0,0,0,0,0,2,0,2,0,2
I29,0,0,0,1,0,2,0,2,0,0
216_43,0,1,2,1,0,2,0,2,0,0
216_42,0,0,0,1,0,2,0,2,0,0
Evolve tree: [&R] ((((((216_42:0.04766967359496056,216_43:0.04766967359496056)I29:0.10655259817901139,(216_40:0.03387720367619631,216_41:0.03387720367619631)I28:0.12034506809777563)I27:0.17325243801423637,((216_44:0.04300285984445322,216_45:0.04300285984445322)I26:0.11121941192951873,(216_46:0.04300285984445322,216_47:0.04300285984445322)I25:0.11121941192951873)I24:0.17325243801423637)I23:0.23859089131925265,(((216_32:0.0294162965763624,216_33:0.0294162965763624)I22:0.10331028389037472,(216_34:0.027210879208705078,216_35:0.027210879208705078)I21:0.10551570125803204)I20:0.18153176473202381,((216_36:0.025021985992257887,216_37:0.025021985992257887)I19:0.10770459447447923,(216_38:0.025021985992257887,216_39:0.025021985992257887)I18:0.10770459447447923)I17:0.18153176473202381)I16:0.25180725590870007)I15:0.3434827389475237,(((216_26:0.04300285984445322,216_27:0.04300285984445322)I14:0.12402040832917394,(216_24:0.04069564477212541,216_25:0.04069564477212541)I13:0.12632762340150175)I12:0.16942947408000533,((216_20:0.04766967359496056,216_21:0.04766967359496056)I11:0.1097168359406412,(216_22:0.03840571657315253,216_23:0.03840571657315253)I10:0.11898079296244922)I9:0.17906623271803074)I8:0.573095597801352)I7:0.1601820817316462,((((216_12:0.031638362837529375,216_13:0.031638362837529375)I6:0.08641242631099699,(216_10:0.01855321780474515,216_11:0.01855321780474515)I5:0.0994975713437812)I4:0.16238761455683554,216_17:0.28043840370536205)I3:0.6115762067716439,(216_3:0.04766967359496056,216_4:0.04766967359496056)I2:0.8443449368820451)I1:0.17771581130962502)I0:0;
