[&R] (((((216_3:0,216_4:0)202_2:0,(216_1:0,216_2:0)203_1:0)161_1:2.304,((216_7:0,216_8:0)207_6:3.709,(216_5:0.049,216_6:1.049)208_5:1.661)161_2:0.594)114_1:2.083,(((216_9:1.01,216_10:0.01)213_9:0.056,216_11:2.066)169_5:1.235,((216_12:0,216_13:0)214_12:0.229,(216_14:0,216_15:0)215_14:2.229)172_7:2.071)123_3:2.086)61_1:2.613)I0;
I0,0,0,0,0,0,0,0,0,0,0
61_1,0,0,0,0:0.13/2:0.87,0,0,0,0:0.13/1:0.87,0,0:0.13/1:0.87
123_3,0,0,0,0:0.02/2:0.98,0,0,0:0.13/2:0.87,0:0.02/1:0.98,0:0.13/2:0.87,0:0.02/1:0.98
172_7,0:0.1/2:0.9,0,0,2,0:0.1/2:0.9,0,0:0.01/2:0.99,1,0:0.01/2:0.99,1
215_14,2,2,0,2,2,2,2,1,2,1
216_15,2,2,0,2,2,2,2,1,2,1
216_14,2,2,0,2,2,2,2,1,2,1
214_12,2,0,0,2,2,0,2,1,2,1
216_13,2,0,0,2,2,0,2,1,2,1
216_12,2,0,0,2,2,0,2,1,2,1
169_5,0,0,0:0.05/1:0.95,2,0,0,0:0.01/2:0.99,1,0:0.01/2:0.99,1
216_11,0,2,1,2,0,2,2,1,2,1
213_9,0,0,0:0.01/1:0.99,2,0,0,2,1,2,1
216_10,0,0,1,2,0,0,2,1,2,1
216_9,0,1,1,2,0,0,2,1,2,1
114_1,0,0,0,0:0.02/2:0.98,0,0:0.13/1:0.87,0,0:0.02/1:0.98,0:0.13/1:0.87,0:0.02/1:0.98
161_2,0:0.54/2:0.46,0,0,0:0.01/2:0.99,0,0:0.07/1:0.93,0,0:0.01/1:0.99,0:0.07/1:0.93,0:0.01/1:0.99
208_5,0:0.02/2:0.98,0,0:0.03/1:0.97,2,0,1,0,1,1,1
216_6,2,0,1,2,0,1,2,1,1,1
216_5,2,0,1,2,0,1,0,1,1,1
207_6,2,2,0,2,2,1,1,1,1,1
216_8,2,2,0,2,2,1,1,1,1,1
216_7,2,2,0,2,2,1,1,1,1,1
161_1,0,1,0,2,0,1,2,1,1,1
203_1,0,1,0,2,0,1,2,1,1,1
216_2,0,1,0,2,0,1,2,1,1,1
216_1,0,1,0,2,0,1,2,1,1,1
202_2,0,1,0,2,0,1,2,1,1,1
216_4,0,1,0,2,0,1,2,1,1,1
216_3,0,1,0,2,0,1,2,1,1,1
