[&R] (((((216_3:0,216_4:0)202_2:1.241,(216_1:1.074,216_2:0.074)203_1:1.167)161_1:0.939,((216_7:0,216_8:0)207_6:0.047,(216_5:0,216_6:0)208_5:1.047)161_2:1.133)114_1:3.821,(((216_9:0,216_10:0)213_9:1.234,216_11:1.234)169_5:0.936,((216_12:0,216_13:0)214_12:0.048,(216_14:0,216_15:0)215_14:1.048)172_7:1.121)123_3:3.832)61_1:1.999)I0;
I0,0,0,0,0,0,0,0,0,0,0
61_1,0,0:0.33/2:0.67,0,0:0.33/1:0.67,0:0.33/2:0.67,0,0,0,0,0
123_3,0:0.04/2:0.96,0:0.01/2:0.99,0:0.04/2:0.96,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0:0.04/1:0.96,0,0
172_7,2,2,2,1,2,0:0.04/2:0.96,0,1,0,0
215_14,2,2,2,1,2,2,0,1,0,2
216_15,2,2,2,1,2,2,0,1,0,2
216_14,2,2,2,1,2,2,0,1,0,2
214_12,2,2,2,1,2,2,0,1,0,0
216_13,2,2,2,1,2,2,0,1,0,0
216_12,2,2,2,1,2,2,0,1,0,0
169_5,0:0.01/2:0.99,2,0:0.01/2:0.99,1,2,0,0,0:0.01/1:0.99,0,0:0.2/1:0.8
216_11,2,2,2,1,2,0,1,1,0,1
213_9,2,2,2,1,2,0,0,1,1,1
216_10,2,2,2,1,2,0,0,1,1,1
216_9,2,2,2,1,2,0,0,1,1,1
114_1,0,0:0.02/2:0.98,0:0.05/1:0.95,0:0.02/1:0.98,0:0.02/2:0.98,0,0:0.05/2:0.95,0,0,0:0.05/2:0.95
161_2,0:0.04/1:0.96,2,1,1,2,0,2,0,0,2
208_5,1,2,1,1,2,2,2,0,0,2
216_6,1,2,1,1,2,2,2,0,0,2
216_5,1,2,1,1,2,2,2,0,0,2
207_6,1,2,1,1,2,0,2,0,0,2
216_8,1,2,1,1,2,0,2,0,0,2
216_7,1,2,1,1,2,0,2,0,0,2
161_1,0:0.2/2:0.8,2,0:0.01/1:0.99,1,2,0,0:0.01/2:0.99,0,0,0:0.01/2:0.99
203_1,0:0.01/2:0.99,2,1,1,2,0,2,0,0:0.06/1:0.94,2
216_2,2,2,1,1,2,0,2,0,1,2
216_1,2,2,1,1,2,0,2,2,1,2
202_2,2,2,1,1,2,1,2,0,0,2
216_4,2,2,1,1,2,1,2,0,0,2
216_3,2,2,1,1,2,1,2,0,0,2
