cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
216_16,0,0,2,1,1,0,1,1,0,0
216_14,0,1,2,1,1,0,1,1,1,0
216_13,0,1,2,1,1,0,1,1,1,0
216_10,0,2,2,1,1,0,1,1,0,0
216_9,0,2,2,1,1,0,1,1,0,0
216_12,1,1,2,1,1,0,1,1,2,2
216_11,1,1,2,1,1,0,1,1,2,2
216_6,1,2,2,1,1,1,1,1,2,0
216_5,1,2,2,1,1,1,1,1,2,0
216_8,1,2,2,1,1,1,1,1,2,0
216_7,1,2,2,1,1,1,1,1,2,0
216_4,2,2,2,1,1,1,1,1,2,0
216_3,2,2,2,1,1,1,1,1,2,0
216_2,2,2,2,1,1,1,1,1,2,2
216_1,2,2,2,1,1,1,1,1,2,2
216_21,0,0,2,1,1,1,2,2,0,1
216_24,0,0,2,1,0,1,1,2,0,0
216_23,0,0,2,1,0,1,1,2,2,0
216_20,2,1,2,1,0,1,1,2,2,0
216_18,2,0,2,1,0,1,0,2,2,0
216_17,2,0,2,1,0,1,0,2,2,0
216_28,0,2,2,1,0,2,0,0,2,0
216_27,0,2,2,1,0,2,0,0,2,0
216_26,2,0,2,1,0,2,1,1,2,0
216_25,2,2,2,1,0,2,0,1,0,0
216_30,0,1,2,1,2,0,0,0,0,2
216_29,0,1,2,1,2,0,0,0,0,2
216_32,2,0,2,1,0,0,0,0,0,2
216_31,2,0,2,1,0,0,0,0,1,2
