cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
I0,0,0,0,1,0,0,0,0,0,0
I1,1,1,1,1,0,2,0,0,1,0
I2,1,1,1,1,0,2,0,0,1,1
216_16,1,1,1,1,0,2,0,0,1,1
216_15,1,1,1,1,0,2,0,0,1,1
I3,1,1,1,1,2,2,1,0,1,2
216_20,1,1,1,1,2,2,1,0,1,2
216_19,1,1,1,1,2,2,1,0,1,2
I4,1,0,0,1,0,1,0,0,2,0
I5,1,0,0,1,2,1,0,0,2,0
I6,1,0,2,1,2,1,0,0,2,0
216_13,1,2,2,1,2,1,0,1,2,0
I7,1,0,2,1,2,1,0,0,2,0
216_12,1,0,2,1,2,1,0,0,2,2
216_11,1,0,2,1,2,1,0,0,2,2
I8,1,0,1,1,2,1,2,1,2,0
I9,1,2,1,1,2,1,2,1,2,0
216_8,1,2,1,1,2,1,2,1,2,0
216_7,1,2,1,1,2,1,2,1,2,0
I10,1,0,1,1,2,1,2,1,2,0
216_10,1,0,1,1,2,1,2,1,2,0
216_9,1,0,1,1,2,1,2,1,2,0
I11,1,0,0,1,0,1,0,1,2,0
I12,1,0,1,1,2,1,0,1,2,1
216_6,1,0,1,1,2,1,0,1,2,1
216_5,1,0,1,1,2,1,0,1,2,1
I13,1,0,0,1,0,1,0,1,2,0
I14,1,0,0,1,0,1,0,1,2,2
216_2,1,2,0,1,0,1,0,1,2,2
216_1,1,0,0,1,0,1,0,1,2,2
I15,1,2,0,1,2,1,0,1,2,2
216_4,1,2,0,1,2,1,0,1,2,2
216_3,1,2,0,1,2,1,0,1,2,2
Evolve tree: [&R] (((((216_3:0.09672897196261515,216_4:0.09672897196261515)I15:0.24975700934579148,(216_1:0.04084112149532636,216_2:0.04084112149532636)I14:0.3056448598130803)I13:0.20557009345794247,(216_5:0.10560747663551223,216_6:0.10560747663551223)I12:0.44644859813083687)I11:0.29792523364485873,(((216_9:0.11007476635513833,216_10:0.11007476635513833)I10:0.1836074766355118,(216_7:0.08355140186915744,216_8:0.08355140186915744)I9:0.2101308411214927)I8:0.24631775700934397,((216_11:0.09231775700934422,216_12:0.09231775700934422)I7:0.1858878504672874,216_13:0.27820560747663164)I6:0.2617943925233625)I5:0.30998130841121385)I4:0.40813084112149506,((216_19:0.1281308411214932,216_20:0.1281308411214932)I3:0.40586915887850095,(216_15:0.11007476635513833,216_16:0.11007476635513833)I2:0.4239252336448558)I1:0.7241121495327085)I0:0.03188785046728972;
