condition k rep method nodeAge trueBrlen estBrlen
s10c1 k10 r1 problin 23 22.0 0
s10c1 k10 r1 problin 68 45.0 55.7275
s10c1 k10 r1 problin 132 109.0 84.7887
s10c1 k10 r1 problin 134 66.0 29.0615
s10c1 k10 r1 problin 137 69.0 33.0317
s10c1 k10 r1 problin 180 48.0 41.1403
s10c1 k10 r1 problin 185 53.0 41.1403
s10c1 k10 r1 problin 192 58.0 41.14
s10c1 k10 r1 problin 193 56.0 37.1698
s10c1 k10 r1 problin 193 59.0 41.14
s10c1 k10 r1 problin 198 61.0 0.833333
s10c1 k10 r1 problin 216 36.0 0.833333
s10c1 k10 r1 problin 216 23.0 48.051
s10c1 k10 r1 problin 216 18.0 0.833333
s10c1 k10 r1 problin 216 18.0 0.833333
s10c1 k10 r1 problin 216 36.0 48.051
s10c1 k10 r1 problin 216 31.0 0.833333
s10c1 k10 r1 problin 216 31.0 48.051
s10c1 k10 r1 problin 216 24.0 48.051
s10c1 k10 r1 problin 216 24.0 0.833333
s10c1 k10 r1 problin 216 23.0 0.833333
s10c1 k10 r1 problin 216 23.0 48.051
s10c1 k10 r1 problin 216 23.0 0.833333
s10c1 k10 r1 spalin_all 23 22.0 0
s10c1 k10 r1 spalin_all 68 45.0 37.95
s10c1 k10 r1 spalin_all 132 109.0 78.3203
s10c1 k10 r1 spalin_all 134 66.0 9.2019
s10c1 k10 r1 spalin_all 137 69.0 64.4328
s10c1 k10 r1 spalin_all 180 48.0 27.7667
s10c1 k10 r1 spalin_all 185 53.0 33.9598
s10c1 k10 r1 spalin_all 192 58.0 133.425
s10c1 k10 r1 spalin_all 193 56.0 65.0785
s10c1 k10 r1 spalin_all 193 59.0 38.8082
s10c1 k10 r1 spalin_all 198 61.0 125.521
s10c1 k10 r1 spalin_all 216 36.0 64.0387
s10c1 k10 r1 spalin_all 216 23.0 34.9197
s10c1 k10 r1 spalin_all 216 18.0 8.8483
s10c1 k10 r1 spalin_all 216 18.0 27.929
s10c1 k10 r1 spalin_all 216 36.0 110.776
s10c1 k10 r1 spalin_all 216 31.0 11.8134
s10c1 k10 r1 spalin_all 216 31.0 56.2398
s10c1 k10 r1 spalin_all 216 24.0 68.4472
s10c1 k10 r1 spalin_all 216 24.0 9.24703
s10c1 k10 r1 spalin_all 216 23.0 33.1783
s10c1 k10 r1 spalin_all 216 23.0 58.6388
s10c1 k10 r1 spalin_all 216 23.0 12.1469
s10c1 k10 r1 spalin_leaves 23 22.0 0
s10c1 k10 r1 spalin_leaves 68 45.0 53.5
s10c1 k10 r1 spalin_leaves 132 109.0 104.23
s10c1 k10 r1 spalin_leaves 134 66.0 0.833333
s10c1 k10 r1 spalin_leaves 137 69.0 0.833333
s10c1 k10 r1 spalin_leaves 180 48.0 0.833333
s10c1 k10 r1 spalin_leaves 185 53.0 0.833333
s10c1 k10 r1 spalin_leaves 192 58.0 88.938
s10c1 k10 r1 spalin_leaves 193 56.0 159.813
s10c1 k10 r1 spalin_leaves 193 59.0 91.5983
s10c1 k10 r1 spalin_leaves 198 61.0 85.8105
s10c1 k10 r1 spalin_leaves 216 36.0 58.6397
s10c1 k10 r1 spalin_leaves 216 23.0 59.8313
s10c1 k10 r1 spalin_leaves 216 18.0 0.833333
s10c1 k10 r1 spalin_leaves 216 18.0 35.9262
s10c1 k10 r1 spalin_leaves 216 36.0 135.853
s10c1 k10 r1 spalin_leaves 216 31.0 0.833333
s10c1 k10 r1 spalin_leaves 216 31.0 64.5117
s10c1 k10 r1 spalin_leaves 216 24.0 79.0542
s10c1 k10 r1 spalin_leaves 216 24.0 0.833333
s10c1 k10 r1 spalin_leaves 216 23.0 0.833333
s10c1 k10 r1 spalin_leaves 216 23.0 105.649
s10c1 k10 r1 spalin_leaves 216 23.0 0.833333
s10c2 k10 r1 problin 20 19.0 0
s10c2 k10 r1 problin 62 42.0 13.6978
s10c2 k10 r1 problin 62 42.0 71.8955
s10c2 k10 r1 problin 108 46.0 20.3522
s10c2 k10 r1 problin 119 57.0 71.18
s10c2 k10 r1 problin 119 57.0 27.8685
s10c2 k10 r1 problin 125 63.0 181.357
s10c2 k10 r1 problin 157 49.0 25.2048
s10c2 k10 r1 problin 162 54.0 38.4752
s10c2 k10 r1 problin 174 55.0 115.646
s10c2 k10 r1 problin 174 55.0 0.833333
s10c2 k10 r1 problin 175 56.0 181.357
s10c2 k10 r1 problin 175 56.0 46.322
s10c2 k10 r1 problin 188 63.0 0.833335
s10c2 k10 r1 problin 201 44.0 0.833333
s10c2 k10 r1 problin 205 43.0 80.188
s10c2 k10 r1 problin 210 48.0 80.0858
s10c2 k10 r1 problin 210 53.0 93.4583
s10c2 k10 r1 problin 216 6.0 0.833333
s10c2 k10 r1 problin 216 42.0 67.7163
s10c2 k10 r1 problin 216 42.0 115.576
s10c2 k10 r1 problin 216 42.0 0.833333
s10c2 k10 r1 problin 216 28.0 0.833335
s10c2 k10 r1 problin 216 28.0 0.833335
s10c2 k10 r1 problin 216 91.0 0.833335
s10c2 k10 r1 problin 216 41.0 0.833335
s10c2 k10 r1 problin 216 41.0 0.833335
s10c2 k10 r1 problin 216 41.0 54.576
s10c2 k10 r1 problin 216 6.0 48.051
s10c2 k10 r1 problin 216 41.0 54.576
s10c2 k10 r1 problin 216 11.0 0.833333
s10c2 k10 r1 problin 216 11.0 0.833333
s10c2 k10 r1 problin 216 6.0 0.833333
s10c2 k10 r1 problin 216 6.0 0.833333
s10c2 k10 r1 problin 216 15.0 25.7045
s10c2 k10 r1 problin 216 15.0 0.833333
s10c2 k10 r1 problin 216 42.0 0.833333
s10c2 k10 r1 spalin_all 20 19.0 0
s10c2 k10 r1 spalin_all 62 42.0 38.5483
s10c2 k10 r1 spalin_all 62 42.0 55.2602
s10c2 k10 r1 spalin_all 108 46.0 30.7568
s10c2 k10 r1 spalin_all 119 57.0 43.4775
s10c2 k10 r1 spalin_all 119 57.0 77.1063
s10c2 k10 r1 spalin_all 125 63.0 160.432
s10c2 k10 r1 spalin_all 157 49.0 47.0443
s10c2 k10 r1 spalin_all 162 54.0 48.7042
s10c2 k10 r1 spalin_all 174 55.0 164.706
s10c2 k10 r1 spalin_all 174 55.0 89.5635
s10c2 k10 r1 spalin_all 175 56.0 181.357
s10c2 k10 r1 spalin_all 175 56.0 78.6555
s10c2 k10 r1 spalin_all 188 63.0 78.437
