[&R] (((((216_9:0,216_10:0)212_9:0,(216_11:0,216_12:0)213_11:0)167_5:1.238,(216_13:0.073,216_14:1.073)173_7:1.165)118_2:3.6,((216_3:0.045,216_4:1.045)205_2:0.966,(216_1:0.006,216_2:1.006)207_1:0.006)164_1:2.826)60_1:3.162)I0;
I0,0,0,0,0,0,0,0,0,0,0
60_1,0,0,0,0:0.21/2:0.79,0,0,0:0.21/2:0.79,0,0:0.21/1:0.79,0:0.21/2:0.79
164_1,2,1,0,2,0,0,2,0,1,2
207_1,2,1,0,2,0,0,2,0,1,2
216_2,2,1,0,2,1,0,2,0,1,2
216_1,2,1,0,2,0,0,2,0,1,2
205_2,2,1,0,2,0:0.04/2:0.96,0,2,0,1,2
216_4,2,1,0,2,2,2,2,0,1,2
216_3,2,1,0,2,2,0,2,0,1,2
118_2,0:0.06/1:0.94,0,0,0:0.01/2:0.99,0:0.06/2:0.94,0,0:0.01/2:0.99,0:0.06/1:0.94,0:0.01/1:0.99,0:0.01/2:0.99
173_7,1,0,0:0.06/2:0.94,2,2,0,2,1,1,2
216_14,1,0,2,2,2,1,2,1,1,2
216_13,1,0,2,2,2,0,2,1,1,2
167_5,1,0,0,2,2,2,2,1,1,2
213_11,1,0,0,2,2,2,2,1,1,2
216_12,1,0,0,2,2,2,2,1,1,2
216_11,1,0,0,2,2,2,2,1,1,2
212_9,1,0,0,2,2,2,2,1,1,2
216_10,1,0,0,2,2,2,2,1,1,2
216_9,1,0,0,2,2,2,2,1,1,2
