Newick tree (s):
[&R] ((((((216_25:0.3198442115202789,216_26:0.0050000039541412255)192_24:0.4169210268259461,(216_27:0.005000003540222504,216_28:0.32441771209513703)196_27:0.005000000486570268)158_13:0.005000004001409414,((216_29:0.2644953441038422,216_30:0.005000004159780338)197_29:0.005000004128969415,(216_31:0.3014098863574498,216_32:0.005000003960754744)199_31:0.2067750101740166)163_15:0.6576026262989503)116_6:0.9131703380359503,(((216_21:0.005000004056333275,216_22:0.4446948730167647)188_17:0.005000004131445499,(216_23:0.7854104983964771,216_24:0.005000003955181142)191_19:0.7413927170500321)155_10:0.5725123798006715,((216_17:0.612398550087499,216_18:0.005000004146746087)191_15:0.1507108350147988,(216_19:0.005000004104518231,216_20:0.3042683717194379)191_16:0.2857874055987762)156_9:0.005000004011696767)117_5:1.0814556860584477)67_3:0.0050000039086952755,(((216_45:0.005000004032228315,216_46:0.528315857879826)197_37:0.07240696605260993,(216_43:0.400190411472937,216_44:0.005000004116163436)198_37:0.005000003893938069)163_19:1.2039728042725248,((216_35:0.20374665171871198,216_36:0.14379849733081693)205_34:0.005000003665964692,(216_33:0.1876967756723418,216_34:0.0050000034469941885)211_33:0.0050000035031991285)170_17:0.7386079259842231)74_5:0.005000003900288787)23_2:0.005000003397370952,((((216_13:0.07270941156521726,216_14:0.6000720579430463)180_9:0.0050000040890271205,(216_15:0.005000004152094656,216_16:0.22834785422926274)185_11:1.2039728042903788)131_6:0.6196050435500354,((216_9:0.4411210247637151,216_10:0.07587433667411445)191_9:0.7943692680711397,216_12:0.005000004170163012)140_5:0.46100795807447714)75_2:0.00500000399072175,(((216_1:0.005000003933876687,216_2:0.2966153077284741)174_1:0.4731423813158567,(216_3:1.1404199598007705,216_4:0.6037413150263242)177_3:0.005000003974331863)126_1:0.005000003575864041,((216_7:0.7733240676355267,216_8:0.9990603085583208)185_6:0.005000003985839058,(216_5:0.255411032593105,216_6:0.0050000038345971096)187_5:0.005000004106018528)130_3:0.10152389167899223)76_1:0.6614425369408578)27_1:0.11506497327893984)virtual:0.0050000002060540194;
Negative-llh: (506.29172055470565, 'optimal')
Dropout rate: 8.13625150539335e-09
Silencing rate: 4.621235848854011e-09
Inferred locations:
192_24 128.45786277810288 290.6930023471447
196_27 147.8555075904457 275.5193333148367
158_13 148.20949256156015 275.1398021350753
197_29 155.8804319802891 238.07618701973513
199_31 169.05374120986804 225.43128278710344
163_15 156.14485428568162 238.0575792414856
116_6 148.5582641048991 274.62894137393226
188_17 128.22236952854152 274.846447324176
191_19 156.48963281792305 263.9030105070203
155_10 128.6719648692097 274.95944660606517
191_15 158.0464406952429 298.58069805275704
191_16 173.72919695463614 293.91372652432204
156_9 157.97105650153546 297.9372792817569
117_5 157.7332339841029 297.2410253804157
67_3 147.1671296370509 242.198059550015
197_37 201.77490918317997 217.21813835744504
198_37 200.89434440589392 226.74965298694886
163_19 200.7457729962054 226.19648885059777
205_34 165.20197989827193 207.6801135458543
211_33 148.8012819223856 208.33049543255416
170_17 164.55392251738195 207.90165388256273
74_5 147.4610171227936 241.48902329627808
23_2 147.09403370020866 241.81189208175405
180_9 133.89483020611792 221.0349788585509
185_11 186.56042106105733 157.6465909515974
131_6 134.1788304026263 220.8665303256235
191_9 192.1489875578519 293.0139567961859
140_5 157.96180388899322 250.14609007982364
75_2 146.44095712355144 241.44039259893592
174_1 96.92302446027098 253.42759838317605
177_3 93.23690813453716 230.66414489763883
126_1 93.55505096724795 230.83069679130625
185_6 94.25929400779376 220.5261618191047
187_5 94.30701856062002 220.4385345778952
130_3 94.286544852189 220.57466278121862
76_1 93.93388056813022 230.71892055090836
27_1 146.41721018253637 241.50179640602363
virtual 146.75592334051134 241.57043230966866
