[&R] (((((216_1:0,216_2:0)211_1:0.389,216_3:2.389)171_1:2.44,((216_5:0,216_6:0)214_5:0.08,216_4:1.08)178_3:2.75)115_1:0.46,(((216_9:0,216_10:0)203_6:0,(216_7:0,216_8:0)207_5:0)170_3:2.228,216_14:0.228)119_3:2.062)58_3:4.71)I0;
I0,0,0,0,0,0,0,0,0,0,0
58_3,0,0,0:0.06/1:0.94,0:0.06/1:0.94,0,0,0,0:0.06/1:0.94,0:0.06/2:0.94,0:0.06/2:0.94
119_3,0:0.1/2:0.9,0,0:0.01/1:0.99,0:0.01/1:0.99,0,0:0.1/2:0.9,0,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99
216_14,2,0,1,1,0,2,0,1,2,2
170_3,2,0,1,1,1,2,1,1,2,2
207_5,2,0,1,1,1,2,1,1,2,2
216_8,2,0,1,1,1,2,1,1,2,2
216_7,2,0,1,1,1,2,1,1,2,2
203_6,2,0,1,1,1,2,1,1,2,2
216_10,2,0,1,1,1,2,1,1,2,2
216_9,2,0,1,1,1,2,1,1,2,2
115_1,0,0,0:0.04/1:0.96,0:0.04/1:0.96,0,0,0:0.64/1:0.36,0:0.04/1:0.96,0:0.04/2:0.96,0:0.04/2:0.96
178_3,0:0.03/1:0.97,0,1,1,0,0:0.03/2:0.97,0:0.02/1:0.98,1,2,2
216_4,1,2,1,1,0,2,1,1,2,2
214_5,1,0,1,1,0,2,1,1,2,2
216_6,1,0,1,1,0,2,1,1,2,2
216_5,1,0,1,1,0,2,1,1,2,2
171_1,0:0.14/2:0.86,0:0.14/1:0.86,0:0.01/1:0.99,0:0.01/1:0.99,0,0,0:0.09/1:0.91,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99
216_3,2,1,1,1,1,1,1,1,2,2
211_1,2,1,1,1,0,0,1,1,2,2
216_2,2,1,1,1,0,0,1,1,2,2
216_1,2,1,1,1,0,0,1,1,2,2
