[&R] (((((216_7:0,216_8:0)202_5:0.046,(216_5:0,216_6:0)208_4:1.046)167_3:1.016,((216_9:0,216_10:0)202_6:1.009,(216_11:1.008,216_12:0.008)202_7:0.001)167_4:1.053)119_3:0.005,(216_3:0,216_4:0)193_2:3.067)70_2:5.933)I0;
I0,0,0,0,0,0,0,0,0,0,0
70_2,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0
193_2,2,1,2,1,1,0,2,1,2,1
216_4,2,1,2,1,1,0,2,1,2,1
216_3,2,1,2,1,1,0,2,1,2,1
119_3,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0
167_4,2,0,2,1,1,0:0.01/2:0.99,2,1,0,0
202_7,2,0,2,1,1,0:0.01/2:0.99,2,1,0,0
216_12,2,0,2,1,1,2,2,1,0,0
216_11,2,0,2,1,1,2,2,1,1,0
202_6,2,0,2,1,1,2,2,1,0,2
216_10,2,0,2,1,1,2,2,1,0,2
216_9,2,0,2,1,1,2,2,1,0,2
167_3,2,0:0.04/2:0.96,2,1,1,0,2,1,0,0
208_4,2,2,2,1,1,0,2,1,1,0
216_6,2,2,2,1,1,0,2,1,1,0
216_5,2,2,2,1,1,0,2,1,1,0
202_5,2,2,2,1,1,0,2,1,0,0
216_8,2,2,2,1,1,0,2,1,0,0
216_7,2,2,2,1,1,0,2,1,0,0
