[&R] ((((216_5:0.008,216_6:1.008)155_5:0.123,((216_9:0,216_10:0)211_7:1.071,(216_7:0,216_8:0)212_6:0.072)165_7:2.059)92_2:1.206,((216_1:0.123,216_2:1.123)202_1:2.536,(216_3:0,216_4:0)213_3:1.659)147_1:1.677)37_1:4.664)I0;
I0,0,0,0,0,0,0,0,0,0,0
37_1,0:0.07/1:0.93,0:0.07/1:0.93,0:0.07/1:0.93,0:0.07/2:0.93,0,0,0,0:0.07/2:0.93,0,0
147_1,0:0.02/1:0.98,0:0.02/1:0.98,0:0.02/1:0.98,0:0.02/2:0.98,0:0.28/2:0.72,0,0,0:0.02/2:0.98,0:0.28/1:0.72,0
213_3,1,1,1,2,2,0,0,2,1,2
216_4,1,1,1,2,2,0,0,2,1,2
216_3,1,1,1,2,2,0,0,2,1,2
202_1,1,1,1,2,0:0.01/2:0.99,0:0.05/2:0.95,0:0.05/2:0.95,2,0:0.01/1:0.99,0
216_2,1,1,1,2,2,2,2,2,1,1
216_1,1,1,1,2,2,2,2,2,1,0
92_2,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0:0.1/1:0.9,0:0.01/2:0.99,0,0
165_7,1,1,1,2,0:0.03/2:0.97,0,1,2,0:0.03/2:0.97,0
212_6,1,1,1,2,2,0,1,2,2,0
216_8,1,1,1,2,2,0,1,2,2,0
216_7,1,1,1,2,2,0,1,2,2,0
211_7,1,1,1,2,2,1,1,2,2,0
216_10,1,1,1,2,2,1,1,2,2,0
216_9,1,1,1,2,2,1,1,2,2,0
155_5,1,1,1,2,0,0,0:0.01/1:0.99,2,0,0
216_6,1,1,1,2,0,0,1,2,1,0
216_5,1,1,1,2,0,0,1,2,0,0
