[&R] ((((((216_8:0,216_9:0)213_6:0,216_10:0)174_3:1.235,((216_11:0,216_12:0)211_8:0,(216_13:0,216_14:0)213_10:0)175_5:1.235)127_2:2.378,((216_3:1,216_1:0)176_1:0,(216_7:1,216_6:0)177_3:0)132_1:2.613)76_1:1.775,((((216_22:0.017,216_23:1.017)208_15:0.002,216_24:1.02)175_9:2.81,(216_20:0,216_21:0)203_13:2.83)128_5:0.465,((216_17:1,216_18:0)178_10:0,(216_15:0,216_16:1)181_9:0)135_5:2.295)78_3:2.092)24_1:2.612)I0;
I0,0,0,0,0,0,0,0,0,0,0
24_1,0,0:0.13/2:0.87,0,0:0.13/2:0.87,0,0,0,0,0,0:0.13/1:0.87
78_3,0:0.12/2:0.88,0:0.02/2:0.98,0,0:0.02/2:0.98,0:0.12/2:0.88,0,0,0,0,0:0.02/1:0.98
135_5,2,2,2,2,2,0,0,0,1,1
181_9,2,2,2,2,2,0,0,0,1,1
216_16,2,2,2,2,2,0,1,0,1,1
216_15,2,2,2,2,2,0,0,0,1,1
178_10,2,2,2,2,2,0,0,0,1,1
216_18,2,2,2,2,2,0,0,0,1,1
216_17,2,2,2,2,2,0,2,0,1,1
128_5,0:0.08/2:0.92,0:0.01/2:0.99,0:0.64/1:0.36,0:0.01/2:0.99,0:0.08/2:0.92,0,0,0,0,0:0.01/1:0.99
203_13,2,2,1,2,2,1,0,1,0,1
216_21,2,2,1,2,2,1,0,1,0,1
216_20,2,2,1,2,2,1,0,1,0,1
175_9,2,2,1,2,2,0:0.01/2:0.99,0,0,0:0.01/2:0.99,1
216_24,2,2,1,2,2,2,2,0,2,1
208_15,2,2,1,2,2,0:0.01/2:0.99,0,0,0:0.01/2:0.99,1
216_23,2,2,1,2,2,2,2,0,2,1
216_22,2,2,1,2,2,2,0,0,2,1
76_1,0:0.26/1:0.74,0:0.03/2:0.97,0,0:0.03/2:0.97,0,0,0,0:0.26/2:0.74,0,0:0.03/1:0.97
132_1,1,2,0,2,2,1,0,2,0,1
177_3,1,2,0,2,2,1,0,2,0,1
216_6,1,2,0,2,2,1,0,2,0,1
216_7,1,2,0,2,2,1,2,2,0,1
176_1,1,2,0,2,2,1,0,2,0,1
216_1,1,2,0,2,2,1,0,2,0,1
216_3,1,2,0,2,2,1,0,2,1,1
127_2,0:0.02/1:0.98,2,0:0.09/2:0.91,2,0,0:0.09/2:0.91,0,0:0.02/2:0.98,0,1
175_5,1,2,2,2,0,2,0,2,2,1
213_10,1,2,2,2,0,2,0,2,2,1
216_14,1,2,2,2,0,2,0,2,2,1
216_13,1,2,2,2,0,2,0,2,2,1
211_8,1,2,2,2,0,2,0,2,2,1
216_12,1,2,2,2,0,2,0,2,2,1
216_11,1,2,2,2,0,2,0,2,2,1
174_3,1,2,2,2,1,2,0,2,0,1
216_10,1,2,2,2,1,2,0,2,0,1
213_6,1,2,2,2,1,2,0,2,0,1
216_9,1,2,2,2,1,2,0,2,0,1
216_8,1,2,2,2,1,2,0,2,0,1
