[&R] (((((216_3:0.001,216_4:1.001)196_2:0.001,(216_1:0,216_2:0)199_1:0.002)152_1:4.498,((216_5:0,216_6:0)205_5:2.224,(216_7:0,216_8:0)214_7:1.224)157_3:1.276)95_1:2.343,((216_10:0,216_11:0)200_8:1.037,216_9:0.037)154_4:5.807)38_1:0.156)I0;
I0,0,0,0,0,0,0,0,0,0,0
38_1,0,0:0.84/2:0.16,0,0,0,0,0,0,0,0
154_4,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0:0.01/1:0.99
216_9,1,2,1,0,0,1,0,0,1,1
200_8,1,2,1,0,2,1,0,0,1,1
216_11,1,2,1,0,2,1,0,0,1,1
216_10,1,2,1,0,2,1,0,0,1,1
95_1,0,0:0.15/2:0.85,0,0,0,0,0,0:0.18/2:0.82,0:0.18/2:0.82,0
157_3,0,0:0.02/2:0.98,0,0:0.15/1:0.85,0,0,0,0:0.03/2:0.97,0:0.03/2:0.97,0
214_7,0,2,0,1,0,2,0,2,2,0
216_8,0,2,0,1,0,2,0,2,2,0
216_7,0,2,0,1,0,2,0,2,2,0
205_5,0,2,0,1,0,0,2,2,2,1
216_6,0,2,0,1,0,0,2,2,2,1
216_5,0,2,0,1,0,0,2,2,2,1
152_1,0,2,2,2,0,0,1,2,2,1
199_1,0,2,2,2,0,0,1,2,2,1
216_2,0,2,2,2,0,0,1,2,2,1
216_1,0,2,2,2,0,0,1,2,2,1
196_2,0,2,2,2,0,0,1,2,2,1
216_4,0,2,2,2,0,2,1,2,2,1
216_3,0,2,2,2,0,0,1,2,2,1
