[&R] (((((216_7:0,216_8:0)197_6:1.008,(216_5:0.006,216_6:2.006)199_5:0.002)150_3:3.204,(216_9:0,216_10:0)204_10:7.212)105_2:0.04,((216_1:1.12,216_2:1.12)179_1:1.264,(216_3:0,216_4:0)193_3:3.383)112_1:2.868)59_1:0.748)I0;
I0,0,0,0,0,0,0,0,0,0,0
59_1,0:0.25/2:0.75,0,0,0,0,0,0,0,0,0
112_1,0:0.03/2:0.97,0,0,0:0.12/1:0.88,0,0,0:0.12/2:0.88,0,0:0.12/1:0.88,0
193_3,2,0,0,1,2,0,2,2,1,2
216_4,2,0,0,1,2,0,2,2,1,2
216_3,2,0,0,1,2,0,2,2,1,2
179_1,2,0,0,0:0.01/1:0.99,0,0:0.09/2:0.91,0:0.01/2:0.99,0,0:0.01/1:0.99,0
216_2,2,0,0,1,1,2,2,0,1,0
216_1,2,0,0,1,0,2,2,0,1,1
105_2,0:0.24/2:0.76,0,0,0,0:0.97/2:0.03,0,0,0,0,0
204_10,2,1,1,1,2,1,0,2,2,0
216_10,2,1,1,1,2,1,0,2,2,0
216_9,2,1,1,1,2,1,0,2,2,0
150_3,2,0,0,0,2,2,1,0,0,0
199_5,2,0,0,0,2,2,1,0,0,0
216_6,2,2,0,0,2,2,1,0,1,0
216_5,2,0,0,0,2,2,1,0,0,0
197_6,2,0,0,1,2,2,1,0,0,0
216_8,2,0,0,1,2,2,1,0,0,0
216_7,2,0,0,1,2,2,1,0,0,0
