[&R] (((((216_9:0,216_10:0)186_6:2.183,(216_11:1.021,216_12:0.021)191_9:2.162)118_3:0.877,((216_13:0,216_14:0)179_7:4.174,216_16:3.174)118_4:3.887)66_2:0.004,(((216_7:0.049,216_8:1.049)183_4:1.3,216_5:2.348)130_2:3.722,216_3:4.07)75_1:0.995)26_1:0.935)I0;
I0,0,0,0,0,0,0,0,0,0,0
26_1,0,0,0,0,0,0,0:0.06/2:0.94,0,0,0
75_1,0,0:0.52/1:0.48,0,0,0,0,0:0.03/2:0.97,0:0.52/1:0.48,0,0
216_3,1,1,0,2,0,0,2,1,1,0
130_2,0,0:0.04/1:0.96,0,0:0.09/1:0.91,0,0:0.09/2:0.91,2,0:0.04/1:0.96,0,0:0.09/2:0.91
216_5,0,1,1,1,1,2,2,1,0,2
183_4,0,1,0,1,0,2,2,1,0:0.04/1:0.96,2
216_8,0,1,2,1,0,2,2,1,1,2
216_7,0,1,0,1,0,2,2,1,1,2
66_2,0,0,0,0,0,0,0:0.06/2:0.94,0,0,0
118_4,0:0.23/2:0.77,0,0,0:0.23/2:0.77,0:0.23/1:0.77,0:0.23/2:0.77,0:0.01/2:0.99,0:0.23/2:0.77,0,0
216_16,2,0,2,2,1,2,2,2,0,1
179_7,2,2,1,2,1,2,2,2,1,0
216_14,2,2,1,2,1,2,2,2,1,0
216_13,2,2,1,2,1,2,2,2,1,0
118_3,0,0,0,0,0,0:0.17/1:0.83,0:0.01/2:0.99,0,0,0
191_9,0:0.01/1:0.99,0,0,0,0,1,2,0,0:0.01/1:0.99,0
216_12,1,0,0,0,0,1,2,0,1,0
216_11,1,0,0,0,0,1,2,2,1,0
186_6,2,0,0,2,0,1,2,0,0,0
216_10,2,0,0,2,0,1,2,0,0,0
216_9,2,0,0,2,0,1,2,0,0,0
