[&R] (((((216_11:0.034,216_13:2.034)167_6:0.016,(216_9:1.191,216_10:1.191)168_5:1.858)119_4:1.161,((216_7:1.005,216_8:0.005)192_7:0.001,216_5:1.006)126_3:2.204)67_2:3.75,((216_1:1.108,216_2:1.108)182_1:0.188,216_4:4.296)126_1:5.665)11_1:0.039)I0;
I0,0,0,0,0,0,0,0,0,0,0
11_1,0:0.96/1:0.04,0,0,0,0,0,0,0,0,0
126_1,0:0.05/1:0.95,0:0.05/2:0.95,0,0,0:0.05/2:0.95,0:0.05/2:0.95,0:0.05/2:0.95,0,0:0.05/1:0.95,0
216_4,1,2,2,2,2,2,2,2,1,1
182_1,0:0.02/1:0.98,0:0.02/2:0.98,0,0,0:0.02/2:0.98,0:0.02/2:0.98,0:0.02/2:0.98,0,0:0.02/1:0.98,0
216_2,1,2,0,0,2,2,2,0,1,2
216_1,1,2,0,0,2,2,2,0,1,1
67_2,0:0.05/1:0.95,0,0,0:0.05/1:0.95,0,0,0,0,0:0.05/2:0.95,0:0.05/2:0.95
126_3,1,1,1,1,0,0,0,0,2,2
216_5,1,1,1,1,0,0,2,0,2,2
192_7,1,1,1,1,0,0,0,0,2,2
216_8,1,1,1,1,0,0,0,0,2,2
216_7,1,1,1,1,0,1,0,0,2,2
119_4,1,0,0,1,0,0:0.04/2:0.96,0,0,2,2
168_5,1,0,0,1,0,2,0:0.09/2:0.91,0:0.09/1:0.91,2,2
216_10,1,0,2,1,0,2,2,1,2,2
216_9,1,1,0,1,0,2,2,1,2,2
167_6,1,0,0,1,0,0:0.03/2:0.97,0,0,2,2
216_13,1,0,0,1,0,2,2,1,2,2
216_11,1,0,0,1,0,2,0,0,2,2
