[&R] (((((216_9:1.161,216_10:1.161)202_8:0.86,216_8:0.021)164_4:0.209,((216_11:0,216_12:0)209_11:1.286,216_13:1.286)164_5:2.944)124_4:0.87,(((216_17:0,216_18:0)205_15:0,216_15:0)165_8:4.002,((216_21:0,216_22:0)201_15:1.049,(216_19:0,216_20:0)203_16:0.049)165_9:2.952)125_6:0.098)83_3:3.9)I0;
I0,0,0,0,0,0,0,0,0,0,0
83_3,0:0.03/1:0.97,0,0:0.03/2:0.97,0:0.03/2:0.97,0,0:0.03/1:0.97,0,0,0,0
125_6,0:0.02/1:0.98,0,0:0.02/2:0.98,0:0.02/2:0.98,0,0:0.02/1:0.98,0,0,0,0:0.91/1:0.09
165_9,1,0,2,2,0:0.02/1:0.98,1,0:0.02/1:0.98,0,0,0:0.02/1:0.98
203_16,1,0,2,2,1,1,1,0,0,1
216_20,1,0,2,2,1,1,1,0,0,1
216_19,1,0,2,2,1,1,1,0,0,1
201_15,1,2,2,2,1,1,1,0,0,1
216_22,1,2,2,2,1,1,1,0,0,1
216_21,1,2,2,2,1,1,1,0,0,1
165_8,1,0,2,2,2,1,0,1,2,1
216_15,1,0,2,2,2,1,0,1,2,1
205_15,1,0,2,2,2,1,0,1,2,1
216_18,1,0,2,2,2,1,0,1,2,1
216_17,1,0,2,2,2,1,0,1,2,1
124_4,0:0.01/1:0.99,0:0.21/1:0.79,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.01/1:0.99,0,0,0,0
164_5,1,0:0.02/1:0.98,2,2,0:0.09/1:0.91,1,0,0:0.09/2:0.91,0:0.09/2:0.91,0
216_13,1,1,2,2,1,1,0,2,2,2
209_11,1,1,2,2,1,1,1,2,2,0
216_12,1,1,2,2,1,1,1,2,2,0
216_11,1,1,2,2,1,1,1,2,2,0
164_4,1,0:0.02/1:0.98,2,2,0,1,0,0,0,0
216_8,1,1,2,2,0,1,0,0,0,0
202_8,1,1,2,2,0,1,0,0:0.16/1:0.84,0,0
216_10,1,1,2,2,0,1,0,1,1,0
216_9,1,1,2,2,0,1,1,1,0,0
