[&R] (((((216_13:0,216_14:0)165_5:2.162,(216_8:0,216_9:0)214_7:0.162)121_3:3.906,((216_18:0,216_19:0)195_11:4.237,216_16:4.238)133_6:0.83)67_2:0.006,((216_5:1.115,216_7:1.115)173_3:1.267,216_4:3.382)121_1:1.691)20_1:1.926)I0;
I0,0,0,0,0,0,0,0,0,0,0
20_1,0,0,0,0,0,0:0.04/1:0.96,0,0,0:0.04/2:0.96,0
121_1,0:0.18/2:0.82,0,0,0,0:0.18/1:0.82,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0
216_4,2,1,0,0,1,1,2,0,2,2
173_3,0:0.02/2:0.98,0,0,0,0:0.02/1:0.98,1,0:0.08/1:0.92,0,2,0
216_7,2,0,0,1,1,1,1,0,2,0
216_5,2,0,0,0,1,1,1,2,2,0
67_2,0,0,0,0,0,0:0.03/1:0.97,0,0,0:0.03/2:0.97,0
133_6,0,0,0,0,0:0.6/1:0.4,0:0.02/1:0.98,0,0,0:0.02/2:0.98,0:0.6/2:0.4
216_16,0,2,2,0,1,1,1,0,2,2
195_11,0,0,1,1,1,1,0,1,2,2
216_19,0,0,1,1,1,1,0,1,2,2
216_18,0,0,1,1,1,1,0,1,2,2
121_3,0:0.04/1:0.96,0,0:0.04/2:0.96,0:0.04/1:0.96,0,1,0,0:0.04/1:0.96,2,0
214_7,1,0,2,1,0,1,0,1,2,0
216_9,1,0,2,1,0,1,0,1,2,0
216_8,1,0,2,1,0,1,0,1,2,0
165_5,1,2,2,1,2,1,0,1,2,0
216_14,1,2,2,1,2,1,0,1,2,0
216_13,1,2,2,1,2,1,0,1,2,0
