[&R] (((((216_5:0,216_6:0)205_5:1.021,(216_7:0,216_8:0)207_7:1.021)169_3:0.002,(216_9:0.205,216_10:2.205)177_5:0.817)126_2:1.104,((216_1:0.012,216_2:1.012)187_1:0.047,(216_3:0,216_4:0)188_3:2.059)136_1:1.067)77_1:4.874)I0;
I0,0,0,0,0,0,0,0,0,0,0
77_1,0,0,0:0.03/1:0.97,0,0:0.03/2:0.97,0:0.03/2:0.97,0:0.03/2:0.97,0,0:0.03/2:0.97,0
136_1,0,0,1,0,2,2,2,0,2,0:0.05/2:0.95
188_3,0,0,1,1,2,2,2,1,2,2
216_4,0,0,1,1,2,2,2,1,2,2
216_3,0,0,1,1,2,2,2,1,2,2
187_1,0,0,1,0,2,2,2,0,2,0:0.01/2:0.99
216_2,0,0,1,1,2,2,2,0,2,2
216_1,0,0,1,0,2,2,2,0,2,2
126_2,0,0,1,0,2,2,2,0:0.02/1:0.98,2,0
177_5,0,0:0.2/2:0.8,1,0,2,2,2,1,2,0
216_10,2,2,1,1,2,2,2,1,2,0
216_9,0,2,1,0,2,2,2,1,2,0
169_3,0,0,1,0,2,2,2,0:0.02/1:0.98,2,0
207_7,0,0,1,2,2,2,2,1,2,0
216_8,0,0,1,2,2,2,2,1,2,0
216_7,0,0,1,2,2,2,2,1,2,0
205_5,2,0,1,0,2,2,2,1,2,0
216_6,2,0,1,0,2,2,2,1,2,0
216_5,2,0,1,0,2,2,2,1,2,0
