[&R] (((((216_3:1.205,216_4:1.205)185_2:0.947,(216_1:1.049,216_2:0.049)187_1:1.103)126_1:3.916,(216_5:0,216_6:0)188_5:4.068)66_1:1.424,((216_9:0,216_10:0)202_10:1.095,(216_7:0.028,216_8:1.028)209_9:1.067)143_5:3.398)16_1:0.508)I0;
I0,0,0,0,0,0,0,0,0,0,0
16_1,0:0.49/1:0.51,0,0,0,0,0,0,0,0,0
143_5,0:0.01/1:0.99,0,0:0.03/2:0.97,0,0,0:0.03/2:0.97,0,0,0:0.03/2:0.97,0
209_9,1,0,2,0,0,2,0,0:0.03/2:0.97,2,0
216_8,1,0,2,1,0,2,0,2,2,0
216_7,1,0,2,0,0,2,0,2,2,0
202_10,1,0,2,0,0,2,0,0,2,1
216_10,1,0,2,0,0,2,0,0,2,1
216_9,1,0,2,0,0,2,0,0,2,1
66_1,0:0.21/1:0.79,0:0.43/2:0.57,0,0:0.43/2:0.57,0,0,0,0,0,0
188_5,1,2,1,2,1,0,0,0,1,0
216_6,1,2,1,2,1,0,0,0,1,0
216_5,1,2,1,2,1,0,0,0,1,0
126_1,0:0.01/1:0.99,0:0.02/2:0.98,0,0:0.02/2:0.98,0:0.04/2:0.96,0,0:0.04/1:0.96,0,0:0.04/2:0.96,0
187_1,1,2,0:0.04/1:0.96,2,2,0,1,0,2,0
216_2,1,2,1,2,2,0,1,0,2,0
216_1,1,2,1,2,2,1,1,0,2,0
185_2,1,2,0:0.18/2:0.82,2,0:0.01/2:0.99,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0
216_4,1,2,2,2,2,0,1,0,2,1
216_3,1,2,2,2,2,1,1,0,2,0
