[&R] (((((216_1:1,216_2:0)200_1:0,(216_3:0,216_4:0)205_3:0.001)151_1:1.631,((216_7:0,216_8:0)193_4:0.071,(216_5:0,216_6:0)199_3:1.071)152_3:3.561)107_1:0.403,(((216_10:0,216_11:0)206_10:1.153,216_9:1.153)162_5:1.879,((216_14:1.073,216_15:0.073)208_13:2.726,(216_12:0,216_13:0)213_12:2.799)162_6:1.233)112_3:0.003)62_1:3.965)I0;
I0,0,0,0,0,0,0,0,0,0,0
62_1,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0
112_3,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0
162_6,0,0,2,2,0:0.39/2:0.61,1,0,2,0:0.39/1:0.61,0
213_12,0,1,2,2,2,1,0,2,1,1
216_13,0,1,2,2,2,1,0,2,1,1
216_12,0,1,2,2,2,1,0,2,1,1
208_13,0:0.03/2:0.97,0,2,2,0:0.01/2:0.99,1,0:0.03/1:0.97,2,0:0.01/1:0.99,0
216_15,2,0,2,2,2,1,1,2,1,0
216_14,2,1,2,2,2,1,1,2,1,0
162_5,0:0.08/2:0.92,0,2,2,0,1,0,2,0:0.08/2:0.92,0
216_9,2,1,2,2,0,1,0,2,2,0
206_10,2,0,2,2,0,1,2,2,2,0
216_11,2,0,2,2,0,1,2,2,2,0
216_10,2,0,2,2,0,1,2,2,2,0
107_1,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.61/2:0.39,0
152_3,0,0:0.02/2:0.98,2,2,0:0.02/2:0.98,1,0:0.02/2:0.98,2,0:0.01/2:0.99,0
199_3,0,2,2,2,2,1,2,2,2,2
216_6,0,2,2,2,2,1,2,2,2,2
216_5,0,2,2,2,2,1,2,2,2,2
193_4,0,2,2,2,2,1,2,2,2,0
216_8,0,2,2,2,2,1,2,2,2,0
216_7,0,2,2,2,2,1,2,2,2,0
151_1,0,1,2,2,0,1,0,2,2,0
205_3,0,1,2,2,0,1,0,2,2,0
216_4,0,1,2,2,0,1,0,2,2,0
216_3,0,1,2,2,0,1,0,2,2,0
200_1,0,1,2,2,0,1,0,2,2,0
216_2,0,1,2,2,0,1,0,2,2,0
216_1,0,1,2,2,0,1,1,2,2,0
